"name","group","id","Razão de dependência","Taxa de frequência bruta ao médio","Taxa de frequência bruta à pré-escola","Taxa de frequência bruta ao superior","Taxa de frequência líquida ao médio","Taxa de frequência líquida à pré-escola","Taxa de frequência líquida ao superior","% de 0 a 3 anos na escola","% de 4 a 5 anos na escola","% de 25 anos ou mais com superior completo","Renda per capita","Renda per capita , exceto renda nula","População total em domicílios particulares permanentes, exceto com renda nula","IDHM"
"CONCHAL","São Paulo",351220,44.63,69.81,77.26,17.07,47.76,70.33,10.9,30.79,88.75,5.88,617.76,617.76,25103,0.708
"CONCHAS","São Paulo",351230,49.8,63.89,82.85,17.58,47.27,66.03,10.88,38.95,83.97,10.14,730.42,731.36,16171,0.736
"CORDEIRÓPOLIS","São Paulo",351240,42.28,53.87,105.03,35.46,43.24,89.18,13.11,40.18,99.52,10.32,873.87,873.87,20946,0.758
"COROADOS","São Paulo",351250,41.69,81.67,59.75,23.79,59.64,59.75,14.08,27.13,79.25,8.31,638.21,638.21,5224,0.719
"CORONEL MACEDO","São Paulo",351260,49.73,89.33,69.96,16.17,60.9,64.23,10.32,28,77.78,3.83,465.29,467.7,4965,0.69
"CORUMBATAÍ","São Paulo",351270,46.8,71.15,75.25,17.67,59.39,62.05,10.19,32.14,95.85,6.18,741.32,742.6,3863,0.754
"COSMÓPOLIS","São Paulo",351280,41.36,75.7,74.19,18.36,53.8,70.58,8.63,21.23,87.75,7.25,829.25,830.61,58446,0.769
"COSMORAMA","São Paulo",351290,45.21,71.03,71.99,27.17,56.3,64.7,19.11,7.82,72.76,7.21,643.1,644.16,7176,0.722
"COTIA","São Paulo",351300,42.05,86.14,71.93,29.05,48.6,59.02,13.03,26.75,79.19,15.62,1085.66,1086.24,199329,0.78
"CRAVINHOS","São Paulo",351310,42.75,84.85,77.79,25.26,56.07,65.4,14.94,28.26,87.58,7.7,784.4,784.4,31565,0.756
"CRISTAIS PAULISTA","São Paulo",351320,43.47,70.76,102.69,18.23,62.23,90.74,12.65,20.23,90.74,8.31,721.31,721.31,7565,0.734
"CRUZÁLIA","São Paulo",351330,41.86,81.51,73.79,25.68,75.32,70.98,11.54,34.65,95.75,6.05,614.17,614.17,2272,0.774
"CRUZEIRO","São Paulo",351340,42.89,80.48,83.68,32.24,56.58,69.77,16.97,22.21,84.9,12.56,809.24,809.34,76857,0.788
"CUBATÃO","São Paulo",351350,41.35,75.21,75.03,20.26,47.64,68.65,10.03,20.66,83.4,6.71,689.21,691.96,117535,0.737
"CUNHA","São Paulo",351360,47.11,64.87,50.06,15.64,48.89,44.68,4.9,17.39,66.32,7.45,525.19,530.18,21516,0.684
"DESCALVADO","São Paulo",351370,41.7,81.57,75.76,32.17,55.52,58.68,17.16,22.09,77.04,12.04,798.74,800.56,30559,0.76
"DIADEMA","São Paulo",351380,39.52,84.44,65.2,26.05,53.83,58.12,11.47,22.47,82.44,7.12,694.55,694.57,385461,0.757
"DIRCE REIS","São Paulo",351385,45.1,88.15,134.26,60.99,76.97,71.09,33.26,51.43,95.94,7.39,570.51,574.88,1676,0.741
"DIVINOLÂNDIA","São Paulo",351390,40.52,69.23,79.89,20.3,55.01,76.8,13.28,7.76,89.73,8.3,707.97,709.44,11003,0.734
"DOBRADA","São Paulo",351400,45,83.25,77.32,18.12,70.67,69.8,10.51,26.49,88.24,6.63,589.47,589.47,7939,0.718
"DOIS CÓRREGOS","São Paulo",351410,46.78,79.99,72.53,26.95,52.54,66.54,14.74,11.17,83.78,8.01,727.28,727.28,24650,0.725
"DOLCINÓPOLIS","São Paulo",351420,45.93,80.37,129.07,39.66,72.84,89.58,32.77,40.47,100,8.82,620.98,620.98,2094,0.742
"DOURADO","São Paulo",351430,42.51,55,106.59,31.48,44.33,69.73,17.89,21.06,100,6.87,697.37,697.37,8575,0.738
"DRACENA","São Paulo",351440,42.71,81.97,78.89,36.11,68.74,72.44,21.97,38.06,84.74,15.56,862.86,862.86,41992,0.776
"DUARTINA","São Paulo",351450,44.98,77.47,99.95,31.1,63.33,79.66,17.79,25.85,86.46,9.85,688.4,689.06,12199,0.748
"DUMONT","São Paulo",351460,41.12,79.49,80.28,18,54.36,69.89,10.75,28.12,87.79,7.1,705.3,705.3,8143,0.744
"ECHAPORÃ","São Paulo",351470,48.9,80.37,91.28,34.87,67.11,76.47,16.16,20.22,84.6,9.52,703.55,704.89,6286,0.745
"ELDORADO","São Paulo",351480,62.91,65.24,61.47,14.86,48.67,61.47,6.26,8.19,80.93,7.06,411,412.54,14553,0.691
"ELIAS FAUSTO","São Paulo",351490,43.72,54.36,75.91,13.38,39.51,70.46,5.84,14.89,82.69,4.81,625.66,633.46,15371,0.695
"ELISIÁRIO","São Paulo",351492,40.67,97.08,54.52,9.12,81.67,51.9,6.56,31.3,93.39,3.05,666.93,666.93,3120,0.747
"EMBAÚBA","São Paulo",351495,41.86,48.02,88.64,17.04,37.65,80.85,12.31,16.91,91.5,3.1,717.97,717.97,2423,0.73
"EMBU","São Paulo",351500,42.28,76.8,63,21.77,48.75,53.73,9.04,26.23,79.15,5.58,622.77,623.04,239739,0.735
"EMBU-GUAÇU","São Paulo",351510,46.68,72.95,54.26,24.6,52.49,46.55,10.73,31.8,84.13,7.51,676.52,677.58,62223,0.749
"EMILIANÓPOLIS","São Paulo",351512,44.29,83.34,66.04,26.01,72.77,62.98,16.78,45.83,96.9,5.43,584.76,585.49,2997,0.727
"ENGENHEIRO COELHO","São Paulo",351515,44.14,64.57,62.48,48.31,51.01,53.43,18.71,17.36,79.49,10.75,707.37,707.85,15647,0.732
"ESPÍRITO SANTO DO PINHAL","São Paulo",351518,42.08,60.88,91.43,30.18,50.11,69.9,21.63,36.98,91.84,14.06,1048.6,1048.6,41568,0.787
"ESPÍRITO SANTO DO TURVO","São Paulo",351519,46.24,51.13,94.54,27.31,47.54,75.79,13.14,39.2,83.5,3.35,533.76,534.2,4230,0.696
"ESTRELA D'OESTE","São Paulo",351520,41.37,66.33,123.95,27.23,56.57,81.9,20.14,35.02,94.48,10.24,670.65,673.25,8152,0.76
"ESTRELA DO NORTE","São Paulo",351530,45.4,83.62,78.6,16.9,61.8,78.6,11.38,38.68,95.16,4.47,597.74,598.9,2614,0.74
"EUCLIDES DA CUNHA PAULISTA","São Paulo",351535,51.11,67.98,78.71,17.47,44.95,74.74,6.9,7.56,82.16,6.99,493.91,494.85,9438,0.704
"FARTURA","São Paulo",351540,46.34,56.07,89.56,32.31,45.09,69.44,18.88,29.01,84.82,8.35,618.77,619.95,15165,0.732
"FERNANDÓPOLIS","São Paulo",351550,41.56,85.1,96.7,44.9,64.58,75.67,26.67,45.95,97.35,16.42,944,944,64444,0.797
"FERNANDO PRESTES","São Paulo",351560,45.86,72.41,110.67,22.78,55.7,81.22,15.58,40.46,95.16,7.57,832.72,834.49,5506,0.758
"FERNÃO","São Paulo",351565,48.15,108.28,103.55,16.27,85.66,86.17,10.15,47.51,97.21,3.73,510.09,510.59,1559,0.703
"FERRAZ DE VASCONCELOS","São Paulo",351570,43.57,80.87,63.36,19.92,56.18,56.41,8.39,23.83,80.89,5.21,587.83,588.19,167918,0.738
"FLORA RICA","São Paulo",351580,51.3,95.18,72.85,33.78,75.44,66.38,22.11,9.62,81.21,9.21,511.8,511.8,1750,0.727
"FLOREAL","São Paulo",351590,42.63,90.3,55.6,44.02,74.6,41.48,31.49,35.35,78.99,10.63,663.83,663.83,2999,0.747
"FLÓRIDA PAULISTA","São Paulo",351600,47.37,74.64,78.97,16.8,56,77.59,12.42,9.68,90.18,5.43,632.97,633.94,11551,0.715
"FLORÍNIA","São Paulo",351610,44.78,77.84,99.2,35.64,67.48,91.5,14.39,36.7,96.43,8.05,544.03,545.17,2823,0.713
"FRANCA","São Paulo",351620,42.34,80.7,72.27,28.19,65.35,64.84,16.93,21.27,80.99,13.15,846.57,846.58,317553,0.78
"FRANCISCO MORATO","São Paulo",351630,46.69,72.75,72.62,12.83,51.81,60.56,5.48,17.28,78.22,2.8,483.98,485,153736,0.703
"FRANCO DA ROCHA","São Paulo",351640,41.28,70.78,77.33,18.08,48.94,68.57,7.31,18.86,82.09,5.81,632.42,632.7,123372,0.731
"GABRIEL MONTEIRO","São Paulo",351650,41.14,80.18,97.41,31.54,71.04,81.03,18.05,39.46,100,9.4,712.72,712.72,2708,0.763
"GÁLIA","São Paulo",351660,45.07,78.94,89.46,24.45,57.64,70.04,13.73,16.37,83.08,6.47,565.41,565.41,6935,0.709
"GARÇA","São Paulo",351670,44.49,79.47,103.62,35.06,66.95,81,20.53,26.88,94.98,12.64,786.83,786.99,42762,0.769
"GASTÃO VIDIGAL","São Paulo",351680,39.77,83.95,77.17,17.16,64.41,77.17,11.19,12.18,93.85,8.67,736.47,736.47,4185,0.723
"GAVIÃO PEIXOTO","São Paulo",351685,43.15,168.64,67.43,15.58,66.08,60.63,6.25,44.9,92.73,4.01,575.08,575.08,4419,0.719
"GENERAL SALGADO","São Paulo",351690,40.73,85.14,68.52,38.85,70.58,64.6,21.82,25.33,87.85,12.7,771.92,771.92,10616,0.747
"GETULINA","São Paulo",351700,48.79,80.93,82.03,16.16,57.69,68.53,10.08,14.39,92.69,6.35,608.58,608.93,9580,0.717
"GLICÉRIO","São Paulo",351710,46.6,68.7,76.41,18.16,57.15,62.22,13.62,40.61,92.07,5.53,777.37,777.37,4545,0.735
"GUAIÇARA","São Paulo",351720,45.01,76.89,68.41,16.01,56.73,60.82,7.57,8.45,86.92,6.62,610.2,610.2,10619,0.739
"GUAIMBÊ","São Paulo",351730,50.44,64.15,84.04,14.46,50.97,69.48,11.41,9.81,88.47,5.93,532.14,532.14,5414,0.728
"GUAÍRA","São Paulo",351740,41.02,67.44,76.47,33.92,49.36,65.45,19.73,32.82,91.22,9.28,901.23,901.23,37339,0.753
"GUAPIAÇU","São Paulo",351750,38.97,52.89,85.81,19.52,38.46,73.65,12.08,25.82,85.34,7.77,741.42,742.05,17794,0.725
"GUAPIARA","São Paulo",351760,53.65,80.72,77.49,9.8,61.18,64.34,4.63,12.47,73.98,3.48,412.51,423.54,17367,0.675
"GUARÁ","São Paulo",351770,47.62,65.1,77.49,17.18,48.22,68.18,11.31,26.2,92.45,8.85,664.56,664.56,19801,0.718
"GUARAÇAÍ","São Paulo",351780,45.51,57.75,109.74,21.17,46.28,85.51,11.38,27.21,94.31,8.09,619.41,624.84,8298,0.719
"GUARACI","São Paulo",351790,44.95,73.69,96.17,24.78,56.01,84.09,12.96,18.08,92.85,10.49,615.78,615.78,9946,0.737
"GUARANI D'OESTE","São Paulo",351800,50.08,78.47,119.5,31.18,74.22,81.17,20.67,45.07,100,7.37,557.58,557.58,1966,0.732
"GUARANTÃ","São Paulo",351810,48.07,58.43,66.48,13.11,47.71,66.48,8,14.51,80.34,5.09,615.97,615.97,6387,0.713
"GUARARAPES","São Paulo",351820,42.79,73.76,96.56,26.46,54.58,69.92,12.82,42.77,98.69,10.59,739.89,740.17,30482,0.763
"GUARAREMA","São Paulo",351830,44.62,98.38,75.08,19.54,45.01,62.49,9.24,33.23,91.17,10.21,748.79,749.65,25662,0.731
"GUARATINGUETÁ","São Paulo",351840,40.72,86.68,77.5,34.1,59.22,67.75,13.14,27.93,89.44,15.99,926.78,927.3,111477,0.798
"GUAREÍ","São Paulo",351850,45.87,69.11,50.31,6.49,51.4,49.34,3.4,11.87,54.43,4.59,594.42,594.42,11720,0.687
"GUARIBA","São Paulo",351860,42.58,76.11,100.99,22.23,50.06,78.44,11.67,18.07,90.94,6.8,671.34,671.5,35336,0.719
"GUARUJÁ","São Paulo",351870,43.68,69.9,69.67,19.48,47.61,59.58,9.57,20.47,75.97,8.67,745,746,289668,0.751
"GUARULHOS","São Paulo",351880,42.13,81.22,75.79,32.37,53.34,61.69,14.2,31.05,86.34,11.21,829.91,830.29,1212934,0.763
"GUATAPARÁ","São Paulo",351885,46.28,80.83,105.86,19.08,64.54,81.18,13.46,41.51,98.73,5.56,723.83,732.31,6867,0.743
"GUZOLÂNDIA","São Paulo",351890,45.52,64.19,69.52,13.3,38.5,61.45,9.04,14.63,89.04,5.43,537.05,537.05,4708,0.697
"HERCULÂNDIA","São Paulo",351900,47.34,84.08,74.68,21.26,68.51,69.31,12.98,15.2,88.42,6.93,549.27,549.77,8688,0.727
"HOLAMBRA","São Paulo",351905,38.86,77.3,87.74,30.21,55.39,80.23,18.16,41.69,94.99,17,1274.53,1274.53,11254,0.793
"HORTOLÂNDIA","São Paulo",351907,39.6,74.09,72.29,21.67,53.1,62.84,9.51,32.12,92.34,5.85,686.96,687.06,188088,0.756
"IACANGA","São Paulo",351910,43.45,67.54,119.97,19.03,54.61,72.41,8.68,40.47,94.62,8.91,712.15,712.15,9808,0.745
"IACRI","São Paulo",351920,45.69,80.48,63.62,24.97,66.79,60.02,14.78,17.41,76.04,6.48,628.14,628.14,6419,0.733
"IARAS","São Paulo",351925,47.56,64.65,73.18,13.34,34.95,63.12,3.88,17.84,82,4.02,497.81,524.29,4284,0.674
"IBATÉ","São Paulo",351930,42.66,63.17,59.61,17.14,42.26,50.63,8.8,20.94,82.83,4.07,552.79,552.79,30672,0.703
"IBIRÁ","São Paulo",351940,43.86,54.18,85.99,16.91,45.51,68.32,10.08,21.91,78.76,7.69,803.36,803.82,10857,0.74
"IBIRAREMA","São Paulo",351950,48.72,48.82,74.45,22.9,40.93,63.97,13.22,26.38,91.46,7.78,593.7,594.89,6689,0.708
"IBITINGA","São Paulo",351960,39.83,60.3,85.82,18.42,44,65.18,11.62,31.43,79.98,9.01,791.99,792.19,52942,0.747
"IBIÚNA","São Paulo",351970,47.51,66.59,65.86,16.36,50.15,57.92,6.37,15.47,69.32,6.43,624.55,627.83,70480,0.71
"ICÉM","São Paulo",351980,42.29,80.26,85.72,19.76,60.23,82.15,10.29,24.67,88.24,8.95,690.78,690.78,7448,0.72
"IEPÊ","São Paulo",351990,48.12,67.4,96.88,30.47,52.46,77.96,20.64,21.4,90.28,8.3,623.96,625.65,7560,0.736
"IGARAÇU DO TIETÊ","São Paulo",352000,40.51,66.49,67.12,16.93,56.88,58.2,9.69,20.7,83.06,5.45,590.77,590.77,23255,0.727
"IGARAPAVA","São Paulo",352010,43.48,88.26,86,21.4,56.52,68.78,12.6,32.81,91.4,10.68,1228.09,1228.59,27713,0.768
"IGARATÁ","São Paulo",352020,47.11,60.41,60.46,15.1,41.52,56.31,6.24,18.56,83.7,5.02,561.31,561.31,8772,0.711
"IGUAPE","São Paulo",352030,55.26,70.87,70.48,14.54,47.86,64.58,4.97,22.61,86.71,9.05,588.36,591.3,28565,0.726
"ILHABELA","São Paulo",352040,42.77,63.3,70.05,15.32,44.54,58.69,5.98,36.18,95.01,10.85,794.57,798.38,27892,0.756
"ILHA COMPRIDA","São Paulo",352042,50.65,67.7,92.76,22.59,48.97,82.69,4.43,35.26,89.96,6.67,608.83,610.14,8875,0.725
"ILHA SOLTEIRA","São Paulo",352044,38.86,95.34,82.47,52.22,67.25,65.28,23.07,46.49,93.07,18.87,1063.04,1063.56,24986,0.812
"INDAIATUBA","São Paulo",352050,38.78,82.25,77.95,40.08,59.43,68.44,18.21,36.65,88.99,15.04,1098.31,1098.31,201009,0.788
"INDIANA","São Paulo",352060,42.33,97.82,77.66,26.9,76.52,72.64,20.1,22.81,92.15,6.59,681.29,681.76,4816,0.761
"INDIAPORÃ","São Paulo",352070,43.53,75.79,115.75,35.15,55.76,75.89,26.33,52.29,91.53,8.9,680.85,680.85,3848,0.751
"INÚBIA PAULISTA","São Paulo",352080,45.09,65.07,71.8,19.45,42.4,68,12.45,7.29,85.61,6.81,576.91,578.56,3575,0.759
"IPAUSSU","São Paulo",352090,48.51,68.91,98.92,29.19,55.43,83.4,13.07,21.68,93.79,6.82,677.42,677.42,13634,0.727
"IPERÓ","São Paulo",352100,42.25,68.13,58.73,11.76,53.6,53.47,7.54,14.67,75.76,4.64,551.75,553,26367,0.719
"IPEÚNA","São Paulo",352110,46.84,65.67,67.8,19.66,51.9,60.65,12.98,38.86,91.32,8.27,785.15,787.35,5945,0.753
"IPIGUÁ","São Paulo",352115,43.6,81.31,89.02,21.76,61.69,70.97,12.28,17.16,80,3.52,608.53,609.23,4455,0.73
"IPORANGA","São Paulo",352120,59.14,87.7,69.76,23.78,62.5,69.76,15.03,1.25,89.3,5.5,421.14,427.05,4215,0.703
"IPUÃ","São Paulo",352130,42.88,66.07,80.55,23.84,40.68,74.34,13.67,30.49,90.17,7.59,900.48,901.67,14093,0.749
"IRACEMÁPOLIS","São Paulo",352140,39.51,72.55,65.01,28.69,59.91,60.23,16.86,30.43,77.96,8.55,808.74,809.14,19959,0.776
"IRAPUÃ","São Paulo",352150,41.95,63.29,121.48,11.81,50.35,80.02,6.64,30.8,94.03,5.75,579.58,579.58,7224,0.713
"IRAPURU","São Paulo",352160,48.63,63.8,51.75,12.79,47.23,51.75,9.03,19.46,77.64,7.82,589.82,591.4,6385,0.712
"ITABERÁ","São Paulo",352170,48.84,66.92,74.1,16.15,52.37,67.49,8.44,15.93,81,5.75,462.03,465.79,17596,0.693
"ITAÍ","São Paulo",352180,42.93,60.85,76.9,11.14,45.31,75.31,4.43,9.3,81.68,7.57,594.77,596.6,22489,0.713
"ITAJOBI","São Paulo",352190,41.45,81.58,119.87,19.47,65.05,84.79,12.56,29.55,89.83,9.6,739.45,739.63,14486,0.73
"ITAJU","São Paulo",352200,46.88,80.07,113.3,21.39,54.77,88.96,14.33,27.77,94.53,5.5,609.08,609.08,3246,0.705
"ITANHAÉM","São Paulo",352210,52.33,77.26,79.58,22.33,54.97,72.02,8.55,34.03,86.71,9.46,690.67,690.91,86698,0.745
"ITAÓCA","São Paulo",352215,61.48,68.3,90.18,19.39,58.05,76.68,7.64,25.04,86.5,3.85,395.32,397.7,3205,0.68
"ITAPECERICA DA SERRA","São Paulo",352220,42.76,76.79,64.73,22.02,52.61,56.67,9.06,23.41,84.04,6.19,619.82,620.82,148726,0.742
"ITAPETININGA","São Paulo",352230,46.24,82.79,72.73,22.85,59.28,60.69,10.25,26.28,82.15,13.25,741.64,741.8,140549,0.763
"ITAPEVA","São Paulo",352240,48.45,85.97,70.14,24.09,64.6,58.14,11.71,31.94,77.49,10.56,630.48,631.79,87282,0.732
"ITAPEVI","São Paulo",352250,45.65,73.48,67,15.68,48.24,59.25,7.09,18.8,78.86,4.76,575.72,576.54,200303,0.735
"ITAPIRA","São Paulo",352260,39.6,67.87,90.82,29.17,54.36,72.64,15.68,38.96,92.88,11.84,849.81,849.96,67506,0.762
"ITAPIRAPUÃ PAULISTA","São Paulo",352265,60.53,79.13,75.58,15.35,64.93,71.99,2.46,2.17,74.32,4.05,323.42,326.38,3840,0.661
"ITÁPOLIS","São Paulo",352270,41.9,69.15,87,25.73,54.36,70.32,16.95,26.33,87.86,10.15,787.75,788.04,39812,0.744
"ITAPORANGA","São Paulo",352280,50.21,80.7,91.13,11.34,61.52,76.96,7,18.82,87.37,7.09,552.76,555.75,14346,0.719
"ITAPUÍ","São Paulo",352290,44.91,52.84,111.65,12.6,44.85,73.76,7.48,43.53,97.12,6.61,687.46,687.75,12138,0.725
"ITAPURA","São Paulo",352300,45.16,72.3,60.88,14.69,60.4,51.96,6,25.25,94.6,5.2,556.29,557.94,4249,0.72
"ITAQUAQUECETUBA","São Paulo",352310,45.96,69.16,59.78,12.48,46.37,52.33,4.93,15.21,69.37,3.7,502.85,503.6,320722,0.714
"ITARARÉ","São Paulo",352320,48.75,69.65,63.64,17.88,52.8,54.85,10.31,28.06,75.26,9.81,510.2,511.56,47640,0.703
"ITARIRI","São Paulo",352330,59.01,71.81,58.42,9.07,47.29,54.94,4.87,12.58,71.47,4.95,434.58,439.21,15247,0.677
"ITATIBA","São Paulo",352340,39.37,84.84,82.17,35.2,53.45,66.41,15.28,41.81,89.41,13.08,1080.74,1080.74,101022,0.778
"ITATINGA","São Paulo",352350,48.39,64.31,71.58,12.41,46.08,62.7,6.89,19.99,73.12,6.68,568.58,568.74,17981,0.706
"ITIRAPINA","São Paulo",352360,36.1,58.85,74.79,13.76,48.9,60.99,6.97,29.27,93.42,6.64,772.14,774.04,12711,0.724
"ITIRAPUÃ","São Paulo",352370,51.02,79.73,84.98,13.93,60.95,74.39,7.96,16.53,93.59,5.98,526.62,526.62,5889,0.707
"ITOBI","São Paulo",352380,42.89,74.81,67.3,15.15,56.92,62.1,11.66,10.47,68.51,5.72,611.41,611.41,7471,0.717
"ITU","São Paulo",352390,40.82,67.22,83.26,29.59,50.34,70.93,14.32,21.39,88.04,14.37,1038.14,1038.35,153278,0.773
"ITUPEVA","São Paulo",352400,40.82,73.65,84.78,26.02,53.47,76.75,11.3,21.26,88.66,9.22,848.65,848.65,44744,0.762
"ITUVERAVA","São Paulo",352410,43.19,75.14,86.67,36.44,56.46,72.58,22.13,33.33,96.65,13.52,950.39,950.39,38583,0.765
"JABORANDI","São Paulo",352420,42.88,54.43,66.51,11.61,42.23,65.39,7.46,37.63,96.34,5.94,548.22,548.22,6530,0.711
"JABOTICABAL","São Paulo",352430,41.5,69.58,80.59,36.84,54.25,72.66,20.92,29.72,89.7,16.8,1015.51,1016.06,70825,0.778
"JACAREÍ","São Paulo",352440,41.34,77.95,94.36,31.57,56.46,78.4,14.38,30.91,90.85,12.32,846.53,847.01,210649,0.777
"JACI","São Paulo",352450,38.72,73.96,92.36,23.21,62.29,70.33,19.53,27.56,89.35,5.54,624.57,624.57,5475,0.723
"JACUPIRANGA","São Paulo",352460,52.64,85.08,57.19,20.65,49.97,48.03,7.81,9.33,78.65,8.66,574.52,577.56,17070,0.717
"JAGUARIÚNA","São Paulo",352470,39.74,74.29,74.31,36.31,52.38,66.38,16.95,30.91,89.88,13.05,1038.61,1038.61,44108,0.784
"JALES","São Paulo",352480,40.6,77.8,76.62,46.74,62.19,67.23,25.49,34.58,84.37,17.41,850.11,850.69,46845,0.776
"JAMBEIRO","São Paulo",352490,45.2,67.89,94.03,23.02,54.56,69.39,11.28,25.45,87.69,8.18,738.52,738.52,5330,0.756
"JANDIRA","São Paulo",352500,40.32,68.9,68.35,23.99,49.35,58.01,11.35,23.71,88.37,8.74,792.33,792.45,108176,0.76
"JARDINÓPOLIS","São Paulo",352510,45.31,49.11,60.77,16.87,34.77,49.39,10.39,25.31,71.65,8.39,742.74,744.7,37497,0.735
"JARINU","São Paulo",352520,44.03,63.45,71.98,18.4,55.91,60.68,8.73,29.77,75.21,7.42,718.61,718.61,23797,0.733
"JAÚ","São Paulo",352530,41.26,68.56,89.03,28.19,51.63,75.35,15.72,26.33,89.37,13.03,951.17,951.29,130243,0.778
"JERIQUARA","São Paulo",352540,49.06,60.34,62.79,11.79,57.5,62.79,9.62,22.75,81.57,6.9,549.1,549.1,3160,0.703
"JOANÓPOLIS","São Paulo",352550,42.88,61.91,69.64,14.99,49.68,62.84,9.04,35.03,80.04,7.9,650.99,650.99,11658,0.699
"JOÃO RAMALHO","São Paulo",352560,44.75,75.11,83.81,18.39,60.22,72.46,12.45,21.8,78.07,6.22,627.59,628.86,4123,0.741
"JOSÉ BONIFÁCIO","São Paulo",352570,41.32,76.4,83.99,27.59,64.03,69.93,18.38,23.25,89.3,9.89,863.34,863.61,32651,0.777
"JÚLIO MESQUITA","São Paulo",352580,49.36,60.09,86.43,17.78,44.21,79.08,11.01,21.1,90.43,7.7,482.86,482.86,4430,0.716
"JUMIRIM","São Paulo",352585,43.41,59.24,81.52,18.31,55.98,81.52,14.31,24.55,95.81,8.64,710.27,710.27,2798,0.741
"JUNDIAÍ","São Paulo",352590,39.72,78.64,96.84,55.23,58.59,76.08,24.94,34.79,92.17,20.62,1431.55,1431.72,368732,0.822
"JUNQUEIRÓPOLIS","São Paulo",352600,45.99,85.1,55.01,28.91,66.34,49.63,17.81,39.85,78.04,9.7,737.14,737.14,17409,0.745
"JUQUIÁ","São Paulo",352610,57.05,69.91,63.01,15.38,52.26,57.1,5.66,8.1,73.66,5.82,467.35,474.4,18876,0.7
"JUQUITIBA","São Paulo",352620,50.18,65.08,57.88,17.13,47.22,48.63,9.24,12.4,71.58,5.93,550.32,551.74,28464,0.709
"LAGOINHA","São Paulo",352630,50.71,70.98,79.38,16.04,60.37,77.27,8.62,1.25,83.21,6.12,573.28,574.41,4789,0.693
"LARANJAL PAULISTA","São Paulo",352640,44.93,50.75,92.11,23.64,36.97,78.78,11.02,41.02,90.74,9.76,760.58,760.58,25243,0.729
"LAVÍNIA","São Paulo",352650,46.71,80.88,90.65,14.47,64.76,81.12,8.69,17.48,87.4,3.77,614.14,615.39,5107,0.721
"LAVRINHAS","São Paulo",352660,47.3,91.29,91.68,17.71,65.46,82.75,7.06,12.52,90.85,6.57,500.59,506.28,6437,0.729
"LEME","São Paulo",352670,42.33,64.55,92.98,28.34,52.69,75.73,15.83,31.23,86.38,9.06,746.15,746.21,91247,0.744
"LENÇÓIS PAULISTA","São Paulo",352680,41.67,67.58,101.26,28.83,57.16,86.55,15.39,28.5,93.7,10.5,816.48,816.48,61212,0.764
"LIMEIRA","São Paulo",352690,39.79,80.65,76.44,35.92,56.18,60.37,17.77,36.25,92.67,11.76,910.85,911.09,274960,0.775
"LINDÓIA","São Paulo",352700,44.16,42.32,111.57,29.63,35.2,81.27,18.82,23.58,90.72,10.83,714.18,714.18,6696,0.742
"LINS","São Paulo",352710,41.88,68.68,78.5,39.69,51.9,65.2,22.97,26.09,90.4,17.33,919.53,919.66,70583,0.786
"LORENA","São Paulo",352720,43.62,78.09,84.04,29.13,52.21,72.77,14.17,27.5,88.26,13.74,781.28,781.74,82078,0.766
"LOURDES","São Paulo",352725,40.77,67.31,90.81,33.5,61.18,85.48,20.44,40.31,85.48,6.81,612,612,2101,0.742
"LOUVEIRA","São Paulo",352730,37.34,66.74,104.82,20.32,49.97,80.34,8.7,34.63,98.07,11.15,1047.17,1047.17,37004,0.777
"LUCÉLIA","São Paulo",352740,46.47,70.07,84.01,30.17,56.9,78.04,17.57,21.32,94.34,10.37,743.2,743.2,18445,0.752
"LUCIANÓPOLIS","São Paulo",352750,49.49,115.91,77.61,20.5,80.46,74.1,13.02,15.87,80.04,4.85,779.84,779.84,2247,0.733
"LUÍS ANTÔNIO","São Paulo",352760,43.86,66.97,70.06,21.78,48.04,64.79,12.22,25.85,85.98,8.72,661.22,661.22,11249,0.731
"LUIZIÂNIA","São Paulo",352770,43.91,75.85,62.45,16.01,59.26,62.45,11.2,25.01,76.73,3.79,557.06,557.06,5008,0.702
"LUPÉRCIO","São Paulo",352780,48.87,80.45,125.89,22.96,59.01,84.63,11.81,51.33,93.55,7.98,547.3,547.7,4344,0.724
"LUTÉCIA","São Paulo",352790,47.66,78.13,113.47,19.14,55.77,77.29,13.68,46.83,93.29,5.96,516.35,516.35,2711,0.72
"MACATUBA","São Paulo",352800,44.99,96.39,89.16,27.1,70.3,72.37,16.47,22.25,83.7,8.23,920.95,920.95,16217,0.77
"MACAUBAL","São Paulo",352810,43.13,88.58,65.85,30.17,71.51,62.55,21.09,10.43,79.42,7.62,704.61,705,7625,0.743
"MACEDÔNIA","São Paulo",352820,42.85,67.05,86.49,45.01,49.63,70.87,27.91,26.77,92.84,8.39,644.23,644.65,3636,0.74
"MAGDA","São Paulo",352830,42.29,71,46.96,31.02,63,46.96,26.07,21.66,70.69,9.38,725.51,725.51,3200,0.753
"MAIRINQUE","São Paulo",352840,44.09,70.08,93,18.83,49.86,74.53,8.46,25.59,89.38,7.03,710.18,712.2,42933,0.743
"MAIRIPORÃ","São Paulo",352850,41.79,90.47,67.86,25.88,56.57,59.15,12.56,23.44,80.46,12.99,944.03,947.73,80040,0.788
"MANDURI","São Paulo",352860,45.69,81.7,62.11,18.04,59.77,58.98,9.68,12.49,86.5,5.65,750.34,750.34,8957,0.739
