"name","group","id","Razão de dependência","Taxa de frequência bruta ao médio","Taxa de frequência bruta à pré-escola","Taxa de frequência bruta ao superior","Taxa de frequência líquida ao médio","Taxa de frequência líquida à pré-escola","Taxa de frequência líquida ao superior","% de 0 a 3 anos na escola","% de 4 a 5 anos na escola","% de 25 anos ou mais com superior completo","Renda per capita","Renda per capita , exceto renda nula","População total em domicílios particulares permanentes, exceto com renda nula","IDHM"
"CRISTALÂNDIA DO PIAUÍ","Piauí",220300,62.77,62.72,71.44,22.69,28.7,56.97,7.84,16.43,87.59,3.84,204.49,213.57,7498,0.573
"CRISTINO CASTRO","Piauí",220310,60.17,73.27,65.31,17.28,27.68,54.09,7.56,10.9,85.56,4.89,307.32,317.7,9562,0.566
"CURIMATÁ","Piauí",220320,60.71,84.08,89.02,18.21,40.36,71.04,8.66,21.24,95.87,6.8,285.52,292.89,10475,0.607
"CURRAIS","Piauí",220323,63.9,66.6,60.83,14.69,24.61,51.78,5.82,6.89,80.48,2.23,168.68,175.2,4516,0.542
"CURRALINHOS","Piauí",220325,60.45,55.67,39.27,10.38,24.33,31.61,4.21,17.93,73.84,2.23,193.65,199.47,4042,0.555
"CURRAL NOVO DO PIAUÍ","Piauí",220327,65.61,50.15,85.63,7.38,21.45,53.6,4.2,13.17,79.11,3.15,186.24,192.83,4696,0.527
"DEMERVAL LOBÃO","Piauí",220330,54.56,77.3,84.41,13.71,34.79,53.88,5.17,28.58,97.53,3.13,311.48,313.58,13155,0.618
"DIRCEU ARCOVERDE","Piauí",220335,53.7,66.33,82.75,17.27,34.86,71.3,8.6,11.78,78.95,2.81,265.3,275.86,6388,0.561
"DOM EXPEDITO LOPES","Piauí",220340,46.43,64.72,64.38,24.74,32.37,58.86,14.35,15.78,89.06,4.27,300.31,302.46,6509,0.601
"DOMINGOS MOURÃO","Piauí",220342,65.79,48.64,62.59,14.35,19.59,62.59,5.42,8.6,80.35,3.33,240.24,247.05,4140,0.55
"DOM INOCÊNCIO","Piauí",220345,54.37,100.51,32.1,12.56,39.87,28.39,6.21,3.8,48.71,1.64,177.27,181.1,9036,0.549
"ELESBÃO VELOSO","Piauí",220350,53.18,75.19,76.83,18.27,35.45,68.17,7.01,11.45,90.98,4.68,283.38,285.57,14392,0.58
"ELISEU MARTINS","Piauí",220360,56.23,66.38,81.48,25.43,30.48,59.17,13.72,21.54,92.75,7.08,370.7,372.13,4625,0.595
"ESPERANTINA","Piauí",220370,54.03,83.5,82.92,9.9,35.28,66.9,4.62,12.45,91.87,3.86,293.39,298.19,37106,0.605
"FARTURA DO PIAUÍ","Piauí",220375,59.56,56.8,63.26,10.86,31.96,55.3,5.61,15.49,87.97,3.79,186.85,193.36,4885,0.548
"FLORES DO PIAUÍ","Piauí",220380,58.65,81.96,55.76,11.02,41.42,44.03,2.48,11.09,91.6,3.94,210.02,212.93,4303,0.547
"FLORESTA DO PIAUÍ","Piauí",220385,51.25,71.9,116.97,16.57,26.94,74.02,7.5,17.79,89.38,3.22,216.87,218.45,2464,0.538
"FLORIANO","Piauí",220390,47.2,91.55,76.86,38.75,39.07,62.49,21.06,12.3,83.93,9.61,536.3,538.55,57002,0.7
"FRANCINÓPOLIS","Piauí",220400,59.02,80.41,56.34,9.69,45.79,44.58,6.5,15.05,87.93,3.65,206.73,212.3,5091,0.564
"FRANCISCO AYRES","Piauí",220410,57.75,62.67,60.7,14.57,28.31,44.55,8.3,20.42,93.6,2.25,268.41,270.63,4435,0.577
"FRANCISCO MACEDO","Piauí",220415,49.79,78.86,103.67,15.16,35.27,86.81,4.54,14.94,92.01,3.11,273.23,278.98,2789,0.553
"FRANCISCO SANTOS","Piauí",220420,48.73,92.4,48.55,20.31,56.37,36.39,10.22,29.15,93.54,4.82,330.49,332.39,8527,0.608
"FRONTEIRAS","Piauí",220430,52.29,67.78,47.18,25.01,37.52,27.66,14.37,17.41,85.18,6.74,380.62,384.97,10927,0.619
"GEMINIANO","Piauí",220435,53.58,60.63,37.06,7.59,33.13,29.99,2.72,12.25,79.33,1.24,208.67,214.65,5322,0.561
"GILBUÉS","Piauí",220440,64.69,59.72,46.61,14.61,17.43,38.7,5.71,13.71,77.83,5.56,285.45,319.79,9258,0.548
"GUADALUPE","Piauí",220450,53.21,84,103.77,18.26,37.19,82.09,8.35,15.33,94.81,5.02,426.79,431.23,10093,0.65
"GUARIBAS","Piauí",220455,64.34,40.26,74.84,6.12,17.86,66.08,3.2,28.53,90.42,2.61,162.06,167.34,4262,0.508
"HUGO NAPOLEÃO","Piauí",220460,55.06,79.3,68.89,21.9,33.9,60.02,4.78,26.39,91.4,5.1,214.09,221.69,3642,0.599
"ILHA GRANDE","Piauí",220465,61.37,66.61,91.08,11.02,26.16,75.43,3.44,10.6,91.49,4.19,221.81,224.55,8796,0.563
"INHUMA","Piauí",220470,55.04,97.85,87.03,28.7,54.86,73.49,12.82,20.59,93.13,4.77,263.73,266.94,14648,0.624
"IPIRANGA DO PIAUÍ","Piauí",220480,55.19,95.3,122.6,27.08,53.23,81.67,11.29,34.49,99.05,3.64,261.12,262.71,9249,0.63
"ISAÍAS COELHO","Piauí",220490,59.01,54.31,75.18,21.41,23.83,59.57,7.12,16.22,94.86,4.05,397.98,413.79,7876,0.582
"ITAINÓPOLIS","Piauí",220500,50.12,76.37,65.94,12.47,28.77,62.64,3.55,2.45,87.2,2.18,237.76,243.59,10837,0.541
"ITAUEIRA","Piauí",220510,53.35,52.31,41.05,24.61,34.17,35.73,12.49,13.65,83.59,3.08,321.64,323.93,10567,0.583
"JACOBINA DO PIAUÍ","Piauí",220515,47.76,58.39,55.74,12.39,25.28,50.33,4.4,28.21,87.43,2.03,190.04,196.6,5506,0.535
"JAICÓS","Piauí",220520,58.37,48.05,29.7,19.23,27.56,24.93,8.7,8.22,48.89,5.27,254.28,260.34,17566,0.524
"JARDIM DO MULATO","Piauí",220525,56.35,110.04,63.35,12.99,43.7,54.28,5.79,4.61,98.48,3.33,219.06,223.93,4209,0.593
"JATOBÁ DO PIAUÍ","Piauí",220527,52.41,47.36,76.32,19.24,27.82,60.59,7.76,17.18,92.11,1.76,209.21,218.22,4450,0.566
"JERUMENHA","Piauí",220530,58.2,59.29,89.28,23.89,24.11,65.93,6.47,26.31,95.84,4.65,275.19,278.62,4318,0.591
"JOÃO COSTA","Piauí",220535,48.97,94.17,50.22,18.66,32.67,44.71,7.17,7.79,96.95,2.8,191.63,197.91,2857,0.561
"JOAQUIM PIRES","Piauí",220540,57.55,54.44,37.53,7.64,22.06,36.52,4.64,4.73,78.06,2.39,163.33,172.81,12999,0.522
"JOCA MARQUES","Piauí",220545,56.35,38.49,41.77,5.27,19.66,31.44,1.34,28.92,87.36,1.72,181.17,186.89,4935,0.504
"JOSÉ DE FREITAS","Piauí",220550,53.72,80.46,90.19,16.79,26.78,67.03,7.13,18.94,88.42,2.7,316.27,321.67,36359,0.618
"JUAZEIRO DO PIAUÍ","Piauí",220551,61.31,70.34,87.76,17.17,34.11,59.92,6.56,38.64,97.85,4.51,206.61,210.6,4643,0.57
"JÚLIO BORGES","Piauí",220552,62.47,94.75,57.86,8.11,35.88,54.75,3.16,21.47,87.53,5.33,179.61,185.2,5202,0.582
"JUREMA","Piauí",220553,54.59,49.04,90.54,3.86,19.83,77.18,2.32,17.53,95.12,2.21,191.96,201.66,4300,0.555
"LAGOINHA DO PIAUÍ","Piauí",220554,56.51,61.96,43.91,7.53,35.38,39.93,4.04,21.85,100,3.14,262.04,267.17,2599,0.597
"LAGOA ALEGRE","Piauí",220555,63.13,69.16,59.09,9.32,25.89,50.07,2.63,12.36,94.74,3.72,227.89,230.49,7896,0.55
"LAGOA DO BARRO DO PIAUÍ","Piauí",220556,56.23,44.59,3.91,7.95,24.24,3.91,2.19,2.9,26.41,3.6,152.61,160.91,4281,0.502
"LAGOA DE SÃO FRANCISCO","Piauí",220557,64.75,56.74,91.16,12.33,28,74.01,3.63,19.43,91.64,3.31,178.26,181.97,6281,0.529
"LAGOA DO PIAUÍ","Piauí",220558,53.97,65.04,77.85,2.33,28.5,56.75,0.94,24.24,96.77,3.48,242.33,247.87,3762,0.583
"LAGOA DO SÍTIO","Piauí",220559,55.6,57.62,64.1,13.55,28.82,60.38,3.51,9.89,80.51,3.25,183.92,194.67,4582,0.541
