"name","group","id","Razão de dependência 2000","Taxa de frequência bruta ao superior 2000","Taxa de frequência líquida ao superior 2000","Taxa de frequência bruta ao superior","Taxa de frequência líquida ao superior","Renda per capita , exceto renda nula 2000","Renda per capita , exceto renda nula 2010","% Variação renda per capita exceto nula 2000-2010","Renda per capita 2000","Renda per capita 2010","% Variação renda per capita 2000-2010","IDHM 2000","IDHM","% de 25 anos ou mais com superior completo"
"ASSIS BRASIL","Acre",120005,83.6,0.52,0,22.3,6.17,223.84,342.1,52.8323802716226,199.63,291.33,45.9349797124681,0.425,0.588,4.75
"BRASILÉIA","Acre",120010,73.64,6.23,2.89,21.15,7.8,302.03,394.12,30.4903486408635,277.15,376.07,35.6918636117626,0.476,0.614,5.71
"BUJARI","Acre",120013,79,1.29,1.29,15.71,5.79,263.93,362.46,37.3318682984124,238.86,340.95,42.7405174579251,0.46,0.589,4.34
"CAPIXABA","Acre",120017,80.01,0,0,5.92,0.69,228.29,349.88,53.2612028560165,227.36,336.17,47.8580225193526,0.365,0.575,3.44
"CRUZEIRO DO SUL","Acre",120020,81.56,4.51,2.43,22.88,10.86,281.68,477.32,69.4547003692133,266.84,450.06,68.6628691350622,0.51,0.664,7.62
"EPITACIOLÂNDIA","Acre",120025,73.42,2.95,2.02,32.85,12.26,278.34,485.03,74.2581016023568,276.34,467.83,69.2950712889918,0.474,0.653,7.27
"FEIJÓ","Acre",120030,92.37,0.32,0,12.15,3.75,152.3,319.85,110.013131976362,116.68,259.43,122.343160781625,0.323,0.539,4.44
"JORDÃO","Acre",120032,125.77,0,0,12.74,0.37,102.41,211.16,106.190801679523,62.65,178.03,184.166001596169,0.222,0.469,2.57
"MÂNCIO LIMA","Acre",120033,89.92,1.4,0.8,22.94,7.51,227.38,314.86,38.4730407247779,167.7,295.5,76.2075134168158,0.456,0.625,4.44
"MANOEL URBANO","Acre",120034,95.45,0,0,8.27,0.65,223.1,329.48,47.6826535186015,184.82,307.7,66.4863110053025,0.395,0.551,4.35
"MARECHAL THAUMATURGO","Acre",120035,115.1,1.11,1.11,12.1,1.7,149.18,185.62,24.4268668722349,93.59,157.27,68.0414574206646,0.301,0.501,2.46
"PLÁCIDO DE CASTRO","Acre",120038,76.7,0.44,0,14.02,3.48,234.2,339.49,44.9573014517507,228.86,321.16,40.3303329546448,0.464,0.622,4.69
"PORTO WALTER","Acre",120039,109.46,0,0,14.18,1.88,155.58,233.82,50.2892402622445,134.95,204.19,51.3078918117822,0.342,0.532,1.59
"RIO BRANCO","Acre",120040,63.02,10.15,4.85,36.59,15.18,539.28,754.63,39.9328734609108,527.43,744.67,41.1884041484178,0.591,0.727,12.93
"RODRIGUES ALVES","Acre",120042,96.96,0,0,17.33,3.89,157.15,219.03,39.3763919821826,130.54,200.58,53.6540523977325,0.399,0.567,4.01
"SANTA ROSA DO PURUS","Acre",120043,129.16,0,0,17.04,0.66,87.1,267.8,207.462686567164,74.55,201.58,170.395707578806,0.277,0.517,2.33
"SENADOR GUIOMARD","Acre",120045,72.76,2.14,1.1,26.81,11.36,314.43,465.12,47.9248163343192,300.18,455.06,51.595709241122,0.488,0.64,5.4
"SENA MADUREIRA","Acre",120050,84.65,0.32,0.21,14.59,5.4,234.14,356.61,52.3063124626292,212.97,320.8,50.6315443489694,0.451,0.603,4.01
"TARAUACÁ","Acre",120060,96.24,0,0,11.76,2.58,197.17,281.9,42.9730689252929,166.6,251.53,50.9783913565426,0.386,0.539,3.42
"XAPURI","Acre",120070,79.81,0.52,0.52,13.86,4.89,237.99,405.37,70.3306861632842,230.69,382.24,65.6942216827778,0.445,0.599,5.32
"PORTO ACRE","Acre",120080,78.48,0.43,0,16.9,5.72,243.13,343.25,41.179615843376,217.7,319.71,46.8580615525953,0.443,0.576,2.73
"ALVARÃES","Amazonas",130002,106.87,0,0,9.2,4.67,198.32,198.97,0.327753126260592,184.29,178.67,-3.04954148353139,0.373,0.527,3.36
"AMATURÁ","Amazonas",130006,95.54,1.2,0.48,13.32,7,166.71,197.96,18.7451262671705,120.37,178.69,48.4506106172634,0.413,0.56,3.71
"ANAMÃ","Amazonas",130008,93.77,0,0,8.6,1.8,229.46,240.03,4.60646735814521,196.17,226.82,15.6242034969669,0.408,0.594,4.73
"ANORI","Amazonas",130010,90.96,0.55,0,4.69,3.2,193.81,242.11,24.9213146896445,181.92,229.94,26.396218117854,0.428,0.561,3.86
"APUÍ","Amazonas",130014,74.15,1.31,0.26,11.52,6.66,364.28,404.76,11.1123311738223,254.78,380.62,49.391631996232,0.437,0.637,4.06
"ATALAIA DO NORTE","Amazonas",130020,100.9,2.44,0,6.38,3.03,224.34,216.4,-3.53927074975484,147.86,159.21,7.67618017043148,0.348,0.45,2.74
"AUTAZES","Amazonas",130030,94.87,0.41,0.41,6.05,1.55,195.23,248.96,27.521385033038,173.53,228.43,31.6371808909122,0.42,0.577,3.9
"BARCELOS","Amazonas",130040,84.82,0.57,0,2.27,0.72,326.85,349.65,6.97567691601651,217.27,237.29,9.21434160261425,0.384,0.5,3.41
"BARREIRINHA","Amazonas",130050,106.45,0,0,4.47,1.91,142.85,156.03,9.22646132306616,121.34,148.28,22.2020768089665,0.399,0.574,3.31
"BENJAMIN CONSTANT","Amazonas",130060,91.2,1.61,0,17.74,6.97,159.88,231.35,44.7022767075307,141.53,211.1,49.1556560446548,0.389,0.574,3.76
"BERURI","Amazonas",130063,105.58,0.65,0.33,5.57,0.64,152.29,219.49,44.1263379079388,135.76,193.4,42.4572775486152,0.34,0.506,2.32
"BOA VISTA DO RAMOS","Amazonas",130068,100.8,2.97,1.1,6.13,2.66,151.03,189.33,25.3592001589088,106.61,175.55,64.6656036019135,0.372,0.565,3.24
"BOCA DO ACRE","Amazonas",130070,82.84,0.43,0,3.69,1.46,215.13,311.75,44.9123785617998,191.39,288.42,50.6975286065103,0.401,0.588,6.27
"BORBA","Amazonas",130080,104.51,0.99,0,5.91,1.66,233.41,245.8,5.30825585878926,191.74,219.83,14.6500469385626,0.389,0.56,3.08
"CAAPIRANGA","Amazonas",130083,88.54,1.47,0,6.24,1.36,151.91,271.43,78.6781647027845,150.83,235.49,56.12941722469,0.403,0.569,4.19
"CANUTAMA","Amazonas",130090,83.54,0,0,3.46,1.61,178.51,226.58,26.9284633914067,125.27,206.44,64.7960405524068,0.38,0.53,2.77
"CARAUARI","Amazonas",130100,100.71,1.2,0.92,4.56,3.27,207.94,226.26,8.81023372126575,160.01,222.32,38.9413161677395,0.344,0.549,5.04
"CAREIRO","Amazonas",130110,77.23,0.48,0,5.67,0.52,182.38,254.76,39.686369119421,145.34,197.06,35.5855235998349,0.337,0.557,2.55
"CAREIRO DA VÁRZEA","Amazonas",130115,75.1,0.76,0,7.08,4.07,171.6,238.34,38.8927738927739,164.23,207.18,26.152347317786,0.387,0.568,3.17
"COARI","Amazonas",130120,91.86,0.68,0,11.16,4.89,167.93,386.83,130.351932352766,159.29,347.2,117.967229581267,0.389,0.586,5.17
"CODAJÁS","Amazonas",130130,94.78,0.61,0.61,6.78,3.3,255.29,251.42,-1.51592306788359,234.31,239.64,2.27476420127181,0.44,0.563,3.62
"EIRUNEPÉ","Amazonas",130140,98.08,1.09,0.24,3.68,1.8,163.52,261.49,59.9131604696673,138.2,241.86,75.0072358900145,0.409,0.563,5.51
"ENVIRA","Amazonas",130150,98.45,1.2,0,3.19,2.15,135.72,229.26,68.921308576481,102.25,204.98,100.469437652812,0.346,0.509,4.92
"FONTE BOA","Amazonas",130160,96.83,0,0,5.5,2.69,215,230.53,7.22325581395349,161.97,200.4,23.7266160400074,0.32,0.53,3.1
"GUAJARÁ","Amazonas",130165,109.9,2.8,0.21,12.4,6.03,206.79,249.37,20.5909376662314,142.25,191.04,34.298769771529,0.381,0.532,3.9
