"name","group","id","Taxa de frequência líquida à pré-escola","% de 0 a 3 anos na escola","IDHM","Taxa de frequência líquida à pré-escola 2000","Renda per capita 2000","Renda per capita 2010","% Variação renda per capita 2000-2010","IDHM 2000","Razão de dependência 2000","% de 0 a 3 anos na escola"
"RIO BRANCO","Acre",120040,51.05,9.77,0.727,29.39,527.43,744.67,41.1884041484178,0.591,63.02,3.28
"RODRIGUES ALVES","Acre",120042,50.77,20.32,0.567,27.21,130.54,200.58,53.6540523977325,0.399,96.96,7.8
"SANTA ROSA DO PURUS","Acre",120043,33.44,28.18,0.517,16.25,74.55,201.58,170.395707578806,0.277,129.16,1.2
"SENADOR GUIOMARD","Acre",120045,45.16,8.19,0.64,23.74,300.18,455.06,51.595709241122,0.488,72.76,3.39
"SENA MADUREIRA","Acre",120050,27.88,5.52,0.603,24.34,212.97,320.8,50.6315443489694,0.451,84.65,3.3
"TARAUACÁ","Acre",120060,23.98,4.69,0.539,11.59,166.6,251.53,50.9783913565426,0.386,96.24,0.5
"XAPURI","Acre",120070,42.65,11.85,0.599,29.13,230.69,382.24,65.6942216827778,0.445,79.81,2.62
"PORTO ACRE","Acre",120080,26.49,6.41,0.576,17.62,217.7,319.71,46.8580615525953,0.443,78.48,1.16
"ALVARÃES","Amazonas",130002,19.81,9.96,0.527,16.75,184.29,178.67,-3.04954148353139,0.373,106.87,0.48
"AMATURÁ","Amazonas",130006,21.13,22.53,0.56,27.77,120.37,178.69,48.4506106172634,0.413,95.54,0.56
"ANAMÃ","Amazonas",130008,39.58,13.47,0.594,10.86,196.17,226.82,15.6242034969669,0.408,93.77,0.82
"ANORI","Amazonas",130010,40.79,3.59,0.561,23.51,181.92,229.94,26.396218117854,0.428,90.96,3.04
"APUÍ","Amazonas",130014,39.9,14.96,0.637,19.24,254.78,380.62,49.391631996232,0.437,74.15,5.41
"ATALAIA DO NORTE","Amazonas",130020,15.46,5.39,0.45,12.97,147.86,159.21,7.67618017043148,0.348,100.9,0.28
"AUTAZES","Amazonas",130030,33.01,14.15,0.577,22.26,173.53,228.43,31.6371808909122,0.42,94.87,4.62
"BARCELOS","Amazonas",130040,25.33,11.21,0.5,10.55,217.27,237.29,9.21434160261425,0.384,84.82,2.62
"BARREIRINHA","Amazonas",130050,33.84,14.8,0.574,14.57,121.34,148.28,22.2020768089665,0.399,106.45,0
"BENJAMIN CONSTANT","Amazonas",130060,25.14,3.92,0.574,7.91,141.53,211.1,49.1556560446548,0.389,91.2,0.57
"BERURI","Amazonas",130063,18.73,6.97,0.506,7.78,135.76,193.4,42.4572775486152,0.34,105.58,2.49
"BOA VISTA DO RAMOS","Amazonas",130068,27.29,6.79,0.565,17.95,106.61,175.55,64.6656036019135,0.372,100.8,4.34
"BOCA DO ACRE","Amazonas",130070,30.94,2.59,0.588,9,191.39,288.42,50.6975286065103,0.401,82.84,1.45
"BORBA","Amazonas",130080,20.72,9.24,0.56,12.13,191.74,219.83,14.6500469385626,0.389,104.51,0
"CAAPIRANGA","Amazonas",130083,29.34,18.07,0.569,24.14,150.83,235.49,56.12941722469,0.403,88.54,1.34
"CANUTAMA","Amazonas",130090,33.4,9.62,0.53,10,125.27,206.44,64.7960405524068,0.38,83.54,0
"CARAUARI","Amazonas",130100,35.7,2.37,0.549,7.23,160.01,222.32,38.9413161677395,0.344,100.71,0.29
"CAREIRO","Amazonas",130110,17.01,9.19,0.557,4.85,145.34,197.06,35.5855235998349,0.337,77.23,1.84
"CAREIRO DA VÁRZEA","Amazonas",130115,28.7,9.31,0.568,17.92,164.23,207.18,26.152347317786,0.387,75.1,1.91
"COARI","Amazonas",130120,27.4,8.28,0.586,3.28,159.29,347.2,117.967229581267,0.389,91.86,0
"CODAJÁS","Amazonas",130130,21.37,5.47,0.563,13.4,234.31,239.64,2.27476420127181,0.44,94.78,1.26
"EIRUNEPÉ","Amazonas",130140,37.45,8.12,0.563,30.68,138.2,241.86,75.0072358900145,0.409,98.08,2.52
"ENVIRA","Amazonas",130150,26.55,12.01,0.509,13.57,102.25,204.98,100.469437652812,0.346,98.45,1.21
