"name","id","Taxa de desocupação - 18 anos ou mais 2010","Taxa de desocupação - 18 a 24 anos 2010","Taxa de desocupação - 25 a 29 anos 2010","IDHM 1991","IDHM 2000","IDHM 2010","IDHM Renda 1991","IDHM Renda 2000","IDHM Renda 2010","% de 0 a 5 anos na escola 2010","% de 18 a 24 anos na escola 2010","% de 25 a 29 anos na escola 2010","Taxa de frequência bruta à pré-escola 2010","Taxa de frequência bruta ao superior 2010","Taxa de frequência líquida à pré-escola 2010","Taxa de frequência líquida ao superior 2010","Renda per capita 1991","Renda per capita 2000","Renda per capita 2010",,,,,,,,
"Água Branca",2500106,4.36,7.64,7.38,267,415,572,332,466,542,30,21.65,11.07,63.73,16.66,51.7,8.44,63.19,145.3,233.65,,,,,,,,
"Água Branca",2700102,4.1,10.48,7.48,282,392,549,367,459,527,29,24.93,6.47,60.73,9.2,55.24,4.07,78.7,138.86,213,,,,,,,,
"Água Clara",5000203,4.36,7.44,5.55,353,534,0.67,578,669,705,26,16.19,6.05,47.49,17.31,42.14,9.14,292.22,513.9,642.97,,,,,,,,
"Água Comprida",3100708,2.5,7.07,4.11,442,604,675,573,0.67,719,49,19.1,7.43,84.91,19.09,68.87,10.1,282.22,517.02,701.19,,,,,,,,
"Água Doce",4200408,2.23,8.15,3.17,446,627,698,578,689,724,35,32.39,13.08,54.59,26.1,54.59,17.57,292.36,581.61,722.21,,,,,,,,
"Água Doce do Maranhão",2100154,7.15,8.39,15.17,0.21,293,0.5,388,0.4,494,49,27.41,12.42,97.98,10.13,69.05,2.81,89.32,96.12,172.55,,,,,,,,
"Água Doce do Norte",3200169,4.69,10.19,7.06,351,527,652,436,555,619,30,18.63,3.03,52.91,18.82,52.91,7.27,120.94,252.68,377.39,,,,,,,,
"Água Fria",2900405,8.9,16.44,14.26,0.23,382,0.55,357,427,529,35,32.43,14.71,65.64,8.03,52.43,2.24,73.95,113.81,215.12,,,,,,,,
"Água Fria de Goiás",5200175,5.8,12.52,6.38,315,481,671,489,599,672,15,19.07,10.94,34.58,13.22,32.94,3.81,167.57,332.03,525.2,,,,,,,,
"Aguaí",3500303,6.3,11.88,8.4,491,642,715,634,697,703,34,21.18,7.21,61.2,16.93,53.16,9.85,412.97,610.66,636.07,,,,,,,,
"Água Limpa",5200209,1.09,3.65,,454,585,722,557,639,691,28,21.36,3.95,55.92,20.56,53.46,11.37,255.38,426.11,591.23,,,,,,,,
"Aguanil",3100807,5.04,10.11,10.3,405,574,663,515,637,672,29,32.97,13.99,49.9,17.16,49.9,8.1,197.39,420.84,524.43,,,,,,,,
"Água Nova",2400406,19.78,38.3,31.3,309,411,616,0.44,409,527,53,33.98,8.92,40.85,15.41,40.85,8.55,123.58,101.84,212.82,,,,,,,,
"Água Preta",2600401,20.76,33.56,21.89,287,388,553,434,0.46,514,29,31.94,9.12,39.55,5.48,27.92,3.22,118.92,139.69,195.47,,,,,,,,
"Água Santa",4300059,1.22,1.73,2.59,448,0.63,0.75,573,645,0.84,40,38.08,24.57,62.51,37,62.51,24.11,283.57,442.3,1491.17,,,,,,,,
"Águas Belas",2600500,6.76,10.44,11.49,0.26,358,526,417,0.45,546,24,35.07,16.16,47.82,12.13,38.87,5.49,107.49,131.78,239.3,,,,,,,,
"Águas da Prata",3500402,6.5,10.77,7.94,576,692,781,674,714,0.75,40,17.51,5.76,77.12,18.86,67.08,12.29,531.44,680.16,853.39,,,,,,,,
"Águas de Chapecó",4200507,2.33,6.45,2.03,453,582,713,513,672,712,40,18.59,8.72,86.91,17.85,76.34,10.12,195.01,522.53,673.13,,,,,,,,
"Águas de Lindóia",3500501,3.65,7.44,2.54,558,695,745,664,741,725,52,17.75,6.04,89.02,20.7,71.59,11.13,498.51,805.89,730.13,,,,,,,,
"Águas de Santa Bárbara",3500550,2.35,4.71,6.01,559,668,757,0.65,697,744,48,20.57,8.12,98.75,24.01,73.37,8.99,456.63,612.97,818.15,,,,,,,,
"Águas de São Pedro",3500600,6.85,17.43,1.95,634,791,854,803,867,849,67,29.4,16.24,111.85,64.42,79.93,22.27,1185.28,1759.76,1580.72,,,,,,,,
"Águas Formosas",3100906,7.48,12.75,8.4,382,508,645,508,537,624,26,21.43,6.36,47.53,12.62,45.61,6.41,188.7,226.06,389.57,,,,,,,,
"Águas Frias",4200556,2.28,9.75,4.15,0.43,0.6,745,552,663,728,40,44.96,15.8,64.04,44.23,64.04,32.19,247.69,494.34,743.13,,,,,,,,
"Águas Lindas de Goiás",5200258,7.96,14.97,8.17,387,497,686,0.6,583,647,34,21.58,7.33,61.91,9.78,52.91,4.29,335.23,300.59,449.38,,,,,,,,
"Águas Mornas",4200606,1.31,3.93,2.33,369,0.57,723,552,622,731,43,21.32,8.31,48.64,19.58,48.64,11.24,248.07,384.13,754.54,,,,,,,,
"Águas Vermelhas",3101003,6.5,15.3,6.15,0.33,466,601,519,509,586,35,21.08,3.98,77.19,6.75,72.01,3.81,201.55,189.5,306.97,,,,,,,,
"Agudo",4300109,2.31,5.25,2.9,449,593,694,639,0.68,752,29,19.61,11.33,52.38,22.12,44.95,10.42,427.84,550.66,861.06,,,,,,,,
"Agudos",3500709,7.37,13.26,7.01,513,669,745,0.63,674,705,54,21.56,11.71,115.24,23.92,79.48,10.91,404.41,530.21,642.59,,,,,,,,
"Agudos do Sul",4100301,4.6,6.36,6.79,351,513,0.66,533,584,671,21,24.03,11.82,42.82,27.62,32.64,12.5,220.73,303.22,519.63,,,,,,,,
"Águia Branca",3200136,3.58,8.01,5.21,0.38,539,678,453,0.6,0.66,39,12.11,5.44,61.95,14.95,46.85,6.97,134.01,333.79,487.28,,,,,,,,
"Aguiar",2500205,4.11,9.26,5.6,273,392,597,386,429,632,45,27.62,10.04,101.62,11.18,77.01,5.73,88.31,115.43,407.32,,,,,,,,
"Aguiarnópolis",1700301,7.34,12.8,10.77,295,466,657,0.48,513,618,27,21.97,4.03,34.75,5.32,32.47,2.92,158.75,194.86,374.27,,,,,,,,
"Aimorés",3101102,7.19,13.6,9.96,429,593,684,545,609,685,36,25.87,13.88,63.62,24.6,61.54,12.53,237.81,354.63,567.46,,,,,,,,
"Aiquara",2900603,10.09,23.42,10.81,293,436,583,453,505,573,62,32.22,11.36,65.13,12.54,46.88,4.15,134.02,185.75,283.24,,,,,,,,
"Aiuaba",2300408,3.31,7.37,1.93,256,365,569,0.36,404,518,52,16.93,6.15,43.82,11.66,35.9,4.04,74.98,99.06,200.6,,,,,,,,
"Aiuruoca",3101201,3.29,11.05,1.47,377,0.55,668,556,647,677,32,27.37,14.86,41.04,20.09,37.5,10.74,255.26,448.77,539.92,,,,,,,,
"Ajuricaba",4300208,2.46,8.68,3.02,498,646,753,593,653,763,47,29.17,9,66.7,35.87,64.29,20.46,319.98,466.14,925.7,,,,,,,,
"Alagoa",3101300,3.54,7.56,3.56,441,542,649,573,572,634,24,25.07,12.53,56.06,20.35,53.42,9.18,283,281.33,413.75,,,,,,,,
"Alagoa Grande",2500304,9.49,22.64,11.59,322,426,582,467,504,576,39,35.43,16.73,69.71,13.05,59.27,7.71,146,184.01,287.94,,,,,,,,
"Alagoa Nova",2500403,6.92,16.46,8.6,306,389,576,409,486,567,36,33.4,14.39,81.98,16.91,69.02,8.57,101.82,164.27,272.81,,,,,,,,
"Alagoinha",2500502,6.67,12.32,12.48,257,411,595,0.38,485,574,42,31.65,8.42,72.21,9.1,56.32,6.08,85.31,163.13,284.64,,,,,,,,
"Alagoinha",2600609,4.97,14.23,3.62,354,457,599,458,499,569,45,30.19,12.54,84.57,13.72,64.94,7.15,138.16,178.67,275.5,,,,,,,,
"Alagoinha do Piauí",2200251,5.6,15.16,4.52,226,368,531,0.42,516,535,43,14.77,2.41,61.49,7.66,52.48,5.97,109.3,197.96,222.87,,,,,,,,
"Alagoinhas",2900702,12.97,23.57,16.34,452,0.55,683,568,613,681,40,32.89,12.13,73.91,19.54,53.58,7.6,274.52,363.32,553.17,,,,,,,,
"Alambari",3500758,7.89,13.47,9.37,418,572,712,612,0.64,682,37,17.26,1.6,61.78,11.93,51.75,9.85,361.56,429.24,556.36,,,,,,,,
"Albertina",3101409,2.33,7.64,2.39,403,546,673,594,637,684,23,17.38,6.22,40.9,17.83,35.77,9.38,322.92,421.88,564.08,,,,,,,,
"Alcântara",2100204,7.63,18.08,15.04,271,405,573,0.43,433,525,31,18.52,8.2,62.2,5.57,55.93,2.47,116,118.37,209.27,,,,,,,,
"Alcântaras",2300507,4.57,9.43,7.95,285,422,0.6,386,456,549,59,18.06,6.17,99.06,13.22,72.99,5.12,88.52,136.44,243.73,,,,,,,,
"Alcantil",2500536,2.98,4.59,5.32,321,408,578,435,456,0.55,39,22.22,5.24,51.96,7.38,47.01,2.97,120.11,136.38,245.01,,,,,,,,
"Alcinópolis",5000252,3,5.41,3.53,295,536,711,655,692,733,34,22.09,4.8,33.99,23.08,33.99,14.87,470.09,591.69,764.03,,,,,,,,
"Alcobaça",2900801,8.7,15.97,9.3,272,453,608,459,543,611,33,24.13,9.44,55.45,11.82,42.66,2.97,139.33,234.96,357.99,,,,,,,,
"Aldeias Altas",2100303,10.78,26.58,12.27,257,349,513,397,424,0.5,40,29.51,9.39,55.77,5.23,47.46,3.15,94.82,112.18,179.92,,,,,,,,
"Alecrim",4300307,0.57,2.92,2.41,425,548,672,513,576,683,22,31.51,9.09,42.4,25.48,36.29,20.25,195.15,287.84,561.62,,,,,,,,
"Alegre",3200201,5.46,13.34,4.33,469,616,721,575,639,708,51,31.76,13.36,73.71,33.71,55.74,18.55,286.49,426.17,655.72,,,,,,,,
"Alegrete",4300406,7.09,15.43,10.38,524,641,0.74,651,675,0.72,37,32.06,15.64,63.99,30.41,55.34,15.04,459.15,533.5,705.29,,,,,,,,
"Alegrete do Piauí",2200277,15.44,27.41,23.34,265,431,585,424,525,564,42,42.43,21.25,89.81,27.63,70.2,15.45,112.15,210.13,268.12,,,,,,,,
"Alegria",4300455,0.75,5.26,1.63,412,578,695,525,582,717,34,21.01,6.05,63.98,23.94,55.08,13.86,210.31,299.59,692.76,,,,,,,,
"Além Paraíba",3101508,6.82,20.1,8.75,553,0.65,726,628,689,713,40,28.88,5.11,79.72,23.88,58.81,13,397.32,583.96,674.5,,,,,,,,
"Alenquer",1500404,6.61,14.44,9.9,328,433,564,464,486,529,40,33.6,14.13,65.62,10.69,54.25,2.45,143.85,165.11,215.33,,,,,,,,
"Alexandria",2400505,11.26,24.53,20.65,0.33,467,606,464,479,581,53,31.38,12.1,85.14,24.08,50.06,10.1,143.22,157.76,296.5,,,,,,,,
"Alexânia",5200308,5.89,9.81,11.49,378,0.52,682,529,0.6,664,26,20.03,10.88,32.66,22.25,29.47,8.96,215.34,335.05,498.09,,,,,,,,
"Alfenas",3101607,6.56,15.55,8.67,536,675,761,657,0.72,737,52,36.48,16.2,77.44,43.2,67.69,24.62,476.91,704.36,783.41,,,,,,,,
"Alfredo Chaves",3200300,2.56,6.38,5.71,0.48,604,0.71,0.57,624,703,55,21.06,8.35,77.36,20.7,70.34,10.43,277.2,387.77,634.97,,,,,,,,
"Alfredo Marcondes",3500808,7.29,15.71,11.33,0.55,646,741,0.62,645,682,44,26.91,3.82,87.79,29.14,87.79,23.77,378.46,443.27,558.38,,,,,,,,
"Alfredo Vasconcelos",3101631,5.62,13,8.01,405,573,675,503,572,629,39,18.26,1.69,63.59,10.51,58.25,4.86,182.88,280.32,400.14,,,,,,,,
"Alfredo Wagner",4200705,1.89,4.74,1.02,389,548,668,579,671,702,23,16.23,6.79,31.51,13.7,23.15,7.12,293.86,521.78,630.54,,,,,,,,
"Algodão de Jandaíra",2500577,6.51,14.33,8.55,182,313,548,348,434,532,34,31.57,21.44,45.81,14.44,39.63,4.28,69.71,119.09,218.7,,,,,,,,
"Alhandra",2500601,12.78,28.17,17.82,276,415,582,448,489,544,35,23.21,8.69,67.44,5.52,48.67,2.12,130.29,167.58,236.14,,,,,,,,
"Aliança",2600708,16.93,31.54,21.7,287,431,604,425,473,565,42,27.38,10.18,76.81,9.85,63.59,6.03,112.74,151.65,269.86,,,,,,,,
"Aliança do Tocantins",1700350,14.14,24.36,23.4,0.38,544,663,511,556,0.61,30,29.93,4.71,42.03,27.41,36.7,15.03,192.3,254.82,357.08,,,,,,,,
"Almadina",2900900,13.91,32.1,24.56,261,405,563,373,487,563,38,25.7,8.98,68.83,12.04,59.84,3.67,81.41,165.85,265.39,,,,,,,,
"Almas",1700400,10.84,17.64,11.2,263,0.42,636,428,532,616,32,16.65,10.92,61.7,11.54,51.07,3.29,114.97,219.3,369.39,,,,,,,,
"Almeirim",1500503,10.78,22.27,10.81,395,526,642,581,0.66,659,30,27.4,12.01,54.15,10.13,47.25,2.56,296.99,486.59,484.16,,,,,,,,
"Almenara",3101706,10.72,19.75,13.9,382,529,642,0.56,598,636,34,27.47,13.74,51.98,18.7,48.61,6.92,260.57,330.21,419.98,,,,,,,,
"Almino Afonso",2400604,7.78,17.49,7.88,387,493,624,439,491,578,47,29.23,9.17,121.03,26.29,83.31,15.88,123.1,169.67,291.3,,,,,,,,
"Almirante Tamandaré",4100400,2.96,6.08,3.52,437,583,699,0.58,629,706,28,23.89,11.24,30.72,20.01,24.79,8.94,295.96,401.17,646.02,,,,,,,,
"Almirante Tamandaré do Sul",4300471,1.01,5.28,,491,601,0.74,542,631,732,39,34.56,4.19,75.73,36.41,71.02,27.03,232.9,405.77,760.16,,,,,,,,
"Aloândia",5200506,4.09,8.13,8.28,453,587,697,521,668,694,25,25.81,4.57,73.93,20.23,73.93,10.97,204.78,510.75,599.9,,,,,,,,
"Alpercata",3101805,10.3,17.01,11.18,374,549,646,475,0.58,629,37,13.18,3.97,34.72,12.2,29.89,5.44,154.02,296.2,401.21,,,,,,,,
"Alpestre",4300505,0.28,,0.78,346,524,671,453,564,0.7,28,15.14,4.9,38.06,12.82,35.83,8.11,133.79,267.81,625.11,,,,,,,,
"Alpinópolis",3101904,4.53,9.43,3.98,433,633,725,596,655,703,38,24.06,7.53,75.21,19.28,62.53,12.98,325.63,472.48,633.91,,,,,,,,
"Alta Floresta",5100250,4.7,9.79,3.49,391,585,714,581,671,709,30,33.27,19.88,52.25,37.69,41.55,17.38,297.62,520.9,660.84,,,,,,,,
"Alta Floresta D'Oeste",1100015,5.17,10.25,5.06,329,483,641,516,617,657,18,22.78,9.28,35.4,21.23,34.15,10.5,198.46,371.15,476.99,,,,,,,,
"Altair",3500907,4.75,9.85,1.17,509,605,687,608,643,698,40,18.88,7.62,118.28,17.79,80.42,12.02,352.71,436.52,616.38,,,,,,,,
"Altamira",1500602,6.36,12.35,5.36,386,534,665,569,629,662,36,28.46,14.5,64.86,17.99,52.29,6.54,276.44,401.93,492.05,,,,,,,,
"Altamira do Maranhão",2100402,6.7,18.12,6.16,0.27,384,549,433,458,486,47,36.01,21.09,55.16,7.12,44.3,3.64,118.27,138.17,164.24,,,,,,,,
"Altamira do Paraná",4100459,4.46,8.42,5.99,333,496,667,485,558,667,37,25.37,8.54,37.63,12.6,37.63,7.85,164.03,257.35,506.31,,,,,,,,
"Altaneira",2300606,6.8,15.35,4.88,288,417,602,381,0.49,547,69,24.18,9.78,81.76,11.82,64.52,6.41,85.88,169.23,240.97,,,,,,,,
"Alterosa",3102001,3.61,11.41,1.24,0.37,565,668,521,0.62,657,25,25.07,8.05,49.37,20.6,47.66,10.19,204.35,379.84,475.99,,,,,,,,
