"name","id","Taxa de desocupação - 18 anos ou mais 2010","Taxa de desocupação - 18 a 24 anos 2010","Taxa de desocupação - 25 a 29 anos 2010","IDHM 1991","IDHM 2000","IDHM 2010","IDHM Renda 1991","IDHM Renda 2000","IDHM Renda 2010","% de 0 a 5 anos na escola 2010","% de 18 a 24 anos na escola 2010","% de 25 a 29 anos na escola 2010","Taxa de frequência bruta à pré-escola 2010","Taxa de frequência bruta ao superior 2010","Taxa de frequência líquida à pré-escola 2010","Taxa de frequência líquida ao superior 2010","Renda per capita 1991","Renda per capita 2000","Renda per capita 2010",,,,,,,,
"Luminárias",3138708,1.1,4.82,,371,594,678,523,674,656,36,28.39,5.83,52.79,21.19,52.79,15.98,206.7,529.37,474.29,,,,,,,,
"Lunardelli",4113759,2.24,5.38,7.97,396,565,0.69,505,578,655,43,32.72,8.62,69.48,30.85,59.59,17.26,185.08,291.77,471.99,,,,,,,,
"Lupércio",3527801,4.95,12.02,6.04,433,592,724,597,609,679,68,16.94,8.68,125.89,22.96,84.63,11.81,327.52,353.27,547.3,,,,,,,,
"Lupionópolis",4113809,6.71,14.38,8.2,432,615,0.71,536,646,703,59,22.28,7.48,59.07,17.92,53.49,9.65,225.11,445.36,636.69,,,,,,,,
"Lutécia",3527900,8.39,21.34,12.54,467,657,0.72,578,635,0.67,64,21.68,5.54,113.47,19.14,77.29,13.68,291.03,417.23,516.35,,,,,,,,
"Luz",3138807,5.06,10.12,6.12,511,662,724,674,729,723,46,24.78,7.11,88.29,26.35,81.72,15.34,530.58,746.8,720.88,,,,,,,,
"Luzerna",4210035,1.62,2.07,5.8,516,697,789,592,713,781,69,33.88,13.78,125.68,44.61,85.11,26.02,319.07,677.75,1030.37,,,,,,,,
"Luziânia",5212501,9.07,17.73,10.38,0.43,0.55,701,614,639,689,28,24.55,11.24,41.56,19.76,34.4,8.42,365.95,425.48,580.88,,,,,,,,
"Luzilândia",2205805,3.46,6.62,6.55,277,0.38,545,399,466,0.55,52,37.58,19.48,83.78,13.75,65.19,6.22,95.79,145.77,245.02,,,,,,,,
"Luzinópolis",1712454,9.03,20.76,12.63,0.28,454,639,401,476,593,27,25.1,8.3,53.63,7.71,48.59,2.24,97.17,154.55,319.83,,,,,,,,
"Macaé",3302403,7.28,14.55,8.44,534,665,764,683,737,792,51,28.06,12.85,87.06,28.39,65.31,11.75,561.15,786.54,1103.42,,,,,,,,
"Macaíba",2407104,10.95,21.21,13.54,368,508,0.64,478,0.54,613,47,27.31,13.63,69.77,12.08,55.33,5.19,156.26,230.39,363.97,,,,,,,,
"Macajuba",2919603,12.07,28.43,25.72,247,374,524,397,447,515,42,33.94,9.56,54.12,4.57,52.05,1.1,94.87,129.13,197.25,,,,,,,,
"Maçambará",4311718,4.23,9.65,5.85,403,562,684,559,639,664,24,24.61,7.71,55.79,26.51,52.23,11.54,259.02,426.54,499.71,,,,,,,,
"Macambira",2803708,3.32,7.18,3.83,311,446,583,437,498,573,67,20.29,5.8,84.66,9.54,69.71,6.83,121.05,177.62,282.4,,,,,,,,
"Macapá",1600303,11.18,23.79,13.37,525,622,733,653,667,723,28,35.67,16.37,55.7,39.02,44.51,16.89,464.14,506.43,717.88,,0.72,,723.33,,0.72,,712.62
"Macaparana",2609006,9.72,15.55,8.78,345,454,609,443,477,571,46,27.23,13.43,80.44,13.43,65.78,5.38,126.08,155.91,278.93,,,,,,,,
"Macarani",2919702,8.15,11.86,9.63,309,449,605,461,515,607,48,21.71,10.94,66.2,7.35,55.71,3.14,140.57,197.21,350.25,,,,,,,,
"Macatuba",3528007,5.43,12.58,6.01,522,641,0.77,662,657,763,45,25.3,7.6,89.16,27.1,72.37,16.47,493.72,476.66,920.95,,,,,,,,
"Macau",2407203,12.5,27.99,16.34,405,556,665,525,566,0.65,59,27.76,10.45,73.45,20.94,57.09,5.24,209.69,270.15,457.22,,,,,,,,
"Macaubal",3528106,4.26,11.31,4.65,484,666,743,633,674,0.72,37,25.77,6.56,65.85,30.17,62.55,21.09,410.43,531.24,704.61,,,,,,,,
"Macaúbas",2919801,7.64,13.59,10.33,271,432,609,399,479,557,45,24.88,10.14,74.63,7.62,54.68,2.9,95.99,157.83,255.36,,,,,,,,
"Macedônia",3528205,3.17,9.88,1.26,0.47,619,0.74,565,614,705,54,38.1,13.43,86.49,45.01,70.87,27.91,269.03,364.16,644.23,,,,,,,,
"Maceió",2704302,11.63,27.03,13.47,507,584,721,649,689,739,45,37.58,16.89,83.17,39.35,58.2,18.51,455.26,583.12,792.54,,0.74,,808.29,,0.74,,778.64
"Machacalis",3138906,10.86,18.35,15.5,376,475,0.64,0.49,503,607,22,17.92,4.86,32.94,11.16,31.99,6.94,169.27,183.21,350.63,,,,,,,,
"Machadinho",4311700,2.35,7.51,7.25,454,571,692,544,594,711,26,18.05,0.76,67.83,16.35,57.06,12.17,235.66,323.25,669.6,,,,,,,,
"Machadinho D'Oeste",1100130,3.23,10.09,1.86,286,449,596,533,592,629,15,19.16,18.37,33.77,13.65,30.11,4.75,220.98,319.18,401.42,,,,,,,,
"Machado",3139003,4.74,9.6,6.84,482,0.63,715,627,0.7,719,54,32.54,10.1,46.45,28.97,38.7,18.67,395.56,622.75,701.58,,,,,,,,
"Machados",2609105,7.29,18.58,13.53,302,418,578,412,494,541,32,29.62,14.31,51.49,12.05,35.29,5.48,104.12,173.17,231.75,,,,,,,,
"Macieira",4210050,2.24,9.26,2.63,375,541,662,466,682,675,40,9.72,1.93,62.77,10.08,57.43,8,145.45,556.96,533.9,,,,,,,,
"Macuco",3302452,8.29,23.79,8.64,0.45,625,703,581,647,687,51,27.33,11.53,130.55,18.88,85.61,10.89,296.59,448.22,574.96,,,,,,,,
"Macururé",2919900,9.68,22.15,12.37,282,392,604,344,458,547,44,31.75,24.78,69.45,16.81,65.7,5.84,68.12,138.74,240.32,,,,,,,,
"Madalena",2307635,8.94,20.83,12.47,287,443,0.61,371,468,536,49,26.4,5.24,85.08,14.01,64.32,6.88,80.42,147.2,225.22,,,,,,,,
"Madeiro",2205854,4.85,15.15,5.49,146,362,563,308,404,472,58,25.63,7.61,54.47,9.31,44.99,3.21,54.38,99.01,150.89,,,,,,,,
"Madre de Deus",2919926,24.62,40.39,29.37,467,565,708,0.54,599,0.67,51,26.03,8.61,92.76,20,56.51,6.69,231.08,332.67,517.74,,,,,,,,
"Madre de Deus de Minas",3139102,9.91,23.28,12.52,452,594,699,533,0.58,667,33,20.03,9.43,90.74,12.55,88.16,5.87,220.65,294.97,508.21,,,,,,,,
"Mãe D'Água",2508703,8.43,8.46,18.64,235,357,542,343,415,0.52,38,26.85,8.8,48.54,14.08,37.06,9.05,67.7,106.07,202.88,,,,,,,,
"Mãe do Rio",1504059,6.73,12.71,10.26,382,466,599,509,546,615,33,30.66,12.76,62.99,7.69,56.32,2.92,189.58,239.65,367.01,,,,,,,,
"Maetinga",2919959,3.4,4.8,6.37,218,311,538,397,428,565,40,29.96,12.92,24.9,6.71,21.31,2.6,94.49,114.74,268.47,,,,,,,,
"Mafra",4210100,4.17,8.74,6.13,538,652,777,0.59,0.66,738,46,26.36,11.28,59.55,28.09,52.86,16.12,315.41,486.44,789.53,,,,,,,,
"Magalhães Barata",1504109,5.09,14.46,7.74,342,429,597,414,428,524,56,38.43,7.35,73.78,5.94,63.25,1.38,105.38,114.44,208.43,,,,,,,,
"Magalhães de Almeida",2106300,11.07,18.86,15.41,277,386,567,348,394,502,46,27.19,13.63,99.84,12.8,72.88,5.6,69.81,93.11,181.73,,,,,,,,
"Magda",3528304,5.97,12.86,9.11,522,673,753,603,672,724,40,27.1,4.23,46.96,31.02,46.96,26.07,340.65,522.89,725.51,,,,,,,,
"Magé",3302502,11.36,24.25,14.77,455,573,709,562,0.64,685,42,27.17,11.69,60.33,15.37,49.31,7.33,263.82,428.24,567.59,,,,,,,,
"Maiquinique",2920007,12.55,28.08,9.59,299,0.42,576,408,506,586,28,27.34,16.87,45.78,11.9,44.59,6.01,101.56,186.15,306.24,,,,,,,,
"Mairi",2920106,6.44,14.96,9.11,274,384,572,429,468,575,42,28.57,11.5,64.48,14.36,58.04,5.06,115.73,147.27,286.58,,,,,,,,
"Mairinque",3528403,10.77,20.79,10.21,525,658,743,687,688,721,49,21.36,11.45,93,18.83,74.53,8.46,573.88,577.89,710.18,,,,,,,,
"Mairiporã",3528502,5.02,10.44,5.98,533,682,788,739,751,767,45,25.57,15.74,67.86,25.88,59.15,12.56,793.06,854.08,944.03,,,,,,,,
"Mairipotaba",5212600,4.64,6.38,6.24,473,627,745,593,671,748,36,21.75,12.3,49.91,22.9,40.65,9.32,320.85,520.63,842.23,,,,,,,,
"Major Gercino",4210209,0.65,2.72,,441,591,698,509,632,738,32,32.99,33.13,67.68,25.18,44.02,7.91,190.46,408.93,789.61,,,,,,,,
"Major Isidoro",2704401,7.34,15.32,9.99,281,365,566,437,441,566,35,36.46,13.02,53.8,13.23,44.5,6.69,121.5,124.09,270.04,,,,,,,,
"Major Sales",2407252,13.18,24.26,11.18,299,462,617,361,457,573,64,28.61,4.37,35.01,16.49,32.1,11.85,75.82,137.04,282.48,,,,,,,,
"Major Vieira",4210308,1.28,2.38,0.73,0.42,582,0.69,523,633,653,28,14.76,7.74,66.92,14.47,60.91,8.46,207.81,410.13,465.76,,,,,,,,
"Malacacheta",3139201,6.81,14.28,12.88,321,482,618,447,548,609,28,24.6,6.05,52.93,11.64,48.37,6.8,128.78,242.25,353.28,,,,,,,,
"Malhada",2920205,6.52,12.88,10.66,0.22,391,562,358,431,532,32,25.69,7.55,55.69,9.55,49.33,3.59,74.08,116.73,218.66,,,,,,,,
"Malhada de Pedras",2920304,5.03,9.88,10.04,244,379,578,437,448,549,43,20.88,5.5,46.86,4.56,45.9,1.28,121.26,129.78,244.02,,,,,,,,
"Malhada dos Bois",2803807,12.15,32.73,19.07,0.36,458,599,424,459,0.56,38,24.61,2.8,71.24,9.39,64.13,4.5,112.1,139.46,261.05,,,,,,,,
"Malhador",2803906,3.63,9.72,2.7,366,453,587,473,501,587,46,29.7,8.75,99.49,14.55,61.54,8.43,152.18,181.17,308.04,,,,,,,,
"Mallet",4113908,2.95,7,2.27,424,575,708,547,0.63,681,32,20.95,5.88,33.32,18.24,30.22,11.75,241.15,403.55,552.86,,,,,,,,
"Malta",2508802,9.53,15.22,21.3,331,477,642,416,526,0.62,44,16.02,11.69,93.91,16.05,74.35,7.7,106.82,211.34,378.53,,,,,,,,
"Mamanguape",2508901,12.46,23.51,13.21,309,424,585,465,516,585,43,34.73,11.17,84.03,13.64,67.16,5.85,144.33,198.76,305.46,,,,,,,,
"Mambaí",5212709,9.88,14.15,8.61,245,431,626,437,506,0.61,26,18.55,8.68,65.48,8.2,62.47,1.97,121.53,187.01,357.12,,,,,,,,
"Mamborê",4114005,6.43,13.09,8.57,435,604,719,615,608,698,40,25.82,8.5,75.16,33,65.92,19.38,366.54,351.55,616.46,,,,,,,,
"Mamonas",3139250,4.93,13.25,7.31,241,0.44,618,393,501,565,30,15.85,4.05,42.9,8.73,42.9,6.93,92.36,180.75,269.87,,,,,,,,
"Mampituba",4311734,1.58,4.06,2.36,372,518,649,0.55,583,0.65,16,21.43,3.43,28.16,12.15,28.16,8.52,245.63,300.14,456.27,,,,,,,,
"Manacapuru",1302504,9.66,16.01,13.2,339,437,614,507,517,604,17,31.55,12.35,24.16,11.48,17.53,4.9,187.64,199.66,342.58,,,,,,,,
"Manaíra",2509008,4.38,7.22,9.84,254,375,543,367,434,537,31,19.93,7.47,62.23,6.92,58.49,2.56,78.52,119.36,225.93,,,,,,,,
"Manaquiri",1302553,7.55,20.88,12.44,244,429,596,0.51,543,556,40,29.71,10.64,46.75,6.22,39.17,1.81,191.32,234.85,254.15,,,,,,,,
"Manari",2609154,5.27,10.18,7.28,133,295,487,378,425,477,36,32.94,13.29,40.36,2.39,34.79,0.79,84.28,112.64,155.49,,,,,,,,
"Manaus",1302603,10.7,20.52,12.73,521,601,737,676,674,738,34,38.15,20.59,55.55,39.71,43.28,15.59,537.29,531.53,790.27,,0.74,,812.54,,0.73,,769.01
"Mâncio Lima",1200336,4.93,12.67,4.2,298,456,625,429,489,0.58,41,26.6,14.75,58.03,22.94,50.34,7.51,115.12,167.7,295.5,,,,,,,,
"Mandaguaçu",4114104,4.66,9.94,6.66,457,632,718,607,653,717,48,25.19,7.93,72.15,24.68,63.58,13.89,349.56,466.47,693.16,,,,,,,,
"Mandaguari",4114203,3.88,6.84,6.88,527,665,751,616,655,732,58,31.83,12.54,93.99,34.77,58.31,18.49,370.57,471.92,762.54,,,,,,,,
"Mandirituba",4114302,5.8,12.03,5.31,406,568,655,557,0.65,677,29,20.57,8.88,32.81,15.01,29.86,7.47,255.64,457.67,539.68,,,,,,,,
"Manduri",3528601,4.42,12.34,5.25,484,0.63,739,651,0.66,0.73,39,16.22,5.3,62.11,18.04,58.98,9.68,459.98,484.67,750.34,,,,,,,,
"Manfrinópolis",4114351,1.82,3.94,,266,506,645,0.42,0.54,642,31,24.06,4.46,43.83,17.18,43.83,10.95,108.87,229.76,435.85,,,,,,,,
"Manga",3139300,11.24,20.98,11.07,364,493,642,565,593,624,42,27.34,12.62,63.39,10.96,54.38,6.14,269.69,320.28,387.71,,,,,,,,
"Mangaratiba",3302601,7.26,12.64,9.13,478,642,753,617,708,746,51,29.98,9.73,59.19,22.69,49.33,10.08,371.45,656.28,832.15,,,,,,,,
"Mangueirinha",4114401,4.7,10.11,6.4,367,575,688,506,0.63,695,32,26.45,8.18,26.44,24.81,21.55,11.99,186.57,402.77,605.97,,,,,,,,
"Manhuaçu",3139409,4.1,8.76,6.33,447,0.61,689,589,678,692,37,22.45,9.36,64.59,19.26,59.27,8.65,311.84,545.15,592.99,,,,,,,,
"Manhumirim",3139508,4.85,6.4,5.36,0.47,571,697,581,632,679,38,27.79,11.07,71.54,24.94,58.66,16.47,298.2,408.83,547.24,,,,,,,,
"Manicoré",1302702,8.1,17.41,10.05,287,398,582,489,0.46,0.58,35,35.83,14.84,36.64,5.38,26.61,2.47,167.99,140.08,295.23,,,,,,,,
"Manoel Emídio",2205904,6.17,7.23,13.51,321,442,573,333,449,534,60,40.69,12.56,42.62,27.37,26.3,14.01,63.35,130.66,222.62,,,,,,,,
"Manoel Ribas",4114500,3.39,9.05,2.71,437,585,716,554,595,725,41,25.17,7.89,54.56,28.39,39.92,15.2,251.53,324.77,729.51,,,,,,,,
"Manoel Urbano",1200344,2.68,7.82,2.2,218,395,551,423,505,586,27,15.63,10.7,38.56,8.27,34.1,0.65,111.5,184.82,307.7,,,,,,,,
"Manoel Viana",4311759,4.18,11.24,4.05,0.41,543,655,546,599,686,15,20.87,5.97,33.06,17.34,32.08,9.82,239.81,332.78,570.72,,,,,,,,
"Manoel Vitorino",2920403,7,12.23,10.65,221,357,566,371,455,538,34,27.53,14.27,41.14,8.29,33.65,2.63,80.63,136.09,226.95,,,,,,,,
"Mansidão",2920452,8.85,16.52,11.28,252,389,599,345,386,503,51,28.56,13.51,86.63,6.32,63.37,1.03,68.33,88.61,182.65,,,,,,,,
"Mantena",3139607,7.51,12.16,6.9,421,0.57,675,545,659,666,39,24.15,9.28,74.13,20.85,67.68,10.49,237.51,482.88,505.08,,,,,,,,
"Mantenópolis",3203304,6.8,14.42,9.47,374,528,657,512,598,636,36,14.91,8.34,60.59,16.68,52.58,5.74,193.96,331.46,417.83,,,,,,,,
"Maquiné",4311775,1.28,2.65,3.43,0.46,579,682,572,647,695,25,21.45,6.23,36.83,22.34,36.83,12.58,280.37,448.96,604.04,,,,,,,,
"Maraã",1302801,16.36,29.28,17.63,265,291,498,444,419,466,43,41.61,20.19,46.08,8.3,37.55,2.58,127.09,108.66,144.99,,,,,,,,
"Marabá",1504208,9.59,17.56,11.06,401,536,668,561,621,673,29,30.15,15.13,47.25,19.76,37.21,7.95,262.98,380.81,527.86,,0.68,,543.92,,0.67,,511.49
"Marabá Paulista",3528700,6.53,13.49,10.96,415,584,677,542,571,0.65,41,16.19,12.73,66.04,6.66,66.04,3.6,232.77,279.37,457.56,,,,,,,,
"Maracaçumé",2106326,11.13,19.47,15.27,278,391,582,432,513,546,35,26.23,11.3,44.78,7.76,38.58,1.24,117.61,195.34,239.38,,,,,,,,
"Maracaí",3528809,7.67,14.64,8.66,515,679,771,637,651,711,41,21.47,12.4,81.63,32.87,79.18,15.88,421.26,458.7,666.65,,,,,,,,
"Maracajá",4210407,4.05,7.51,4.64,487,627,768,575,741,752,42,26.65,12.61,63.01,29.33,58.86,16.77,287.21,804.3,861.85,,,,,,,,
"Maracaju",5005400,3.98,6.92,4.97,0.48,597,736,641,0.66,744,42,28.59,9.79,60.16,27.86,47.02,13.86,432.85,487.24,819.6,,,,,,,,
"Maracanã",1504307,4.58,13.22,3.6,313,406,0.57,432,447,534,47,39.13,13.32,70.55,7.82,53.66,0.64,117.39,129.03,221.89,,,,,,,,
"Maracanaú",2307650,10.4,19.53,11.93,0.42,575,686,495,0.56,617,52,21.49,8.86,88.78,10.98,61.28,4.67,173.62,261.47,372.91,,,,,,,,
"Maracás",2920502,8.31,12.51,11.03,289,412,607,435,467,577,57,27.92,10.99,62.85,7.25,55.42,2.59,119.7,146.5,290.11,,,,,,,,
"Maragogi",2704500,8.02,17.07,9.4,278,419,574,421,465,556,37,33.63,13.66,45.33,10.79,39.06,2.72,109.95,144.21,253.86,,,,,,,,
"Maragogipe",2920601,10.23,20.87,10.9,341,456,621,432,491,582,42,30.09,9.46,56.04,4.36,47.78,0.98,117.89,170.15,300.1,,,,,,,,
"Maraial",2609204,9.69,15.59,15.65,247,347,534,437,436,541,27,29.84,8.54,52.03,9.35,44.65,4.8,121.09,120.49,232.31,,,,,,,,
"Marajá do Sena",2106359,13.89,28.67,18.04,166,309,452,395,417,0.4,43,28.76,16.28,78.71,17.16,65.42,5.99,93.53,107.07,96.25,,,,,,,,
"Maranguape",2307700,8.2,16.27,9.73,369,524,659,466,526,587,40,21.54,9.24,51.76,8.12,43.85,3.37,145.43,211.51,307.81,,,,,,,,
"Maranhãozinho",2106375,10.86,22.71,11.72,192,306,0.55,368,0.36,497,45,35.91,14.58,54.36,7.98,36.39,3.3,79.1,75.24,176.36,,,,,,,,
"Marapanim",1504406,4.76,10.55,9.43,337,448,609,457,478,0.57,38,33.77,5.96,75.72,4.8,60.7,0.93,137.7,156.36,277.01,,,,,,,,
"Marapoama",3528858,4.18,10.5,4.48,0.41,613,752,549,622,736,52,12.47,5.12,98.9,15.99,78.06,10.33,244.39,384.31,781.03,,,,,,,,
"Mara Rosa",5212808,4.54,14.64,4.03,415,0.54,691,587,584,0.68,26,21.76,13.27,45.23,22.96,38.78,12.11,308.76,302.99,548.96,,,,,,,,
"Maratá",4311791,0.17,,,474,591,697,609,669,729,28,24.38,6.68,15.42,30.11,15.42,15.04,353.51,513.45,745.31,,,,,,,,
"Marataízes",3203320,8.35,19.38,8.37,441,592,696,577,646,676,49,26.24,10.01,68.12,29.33,58.76,11.98,290.69,446.3,538.07,,,,,,,,
"Maraú",2920700,5.32,10.02,6.4,244,354,593,509,521,643,37,31.19,14.48,58.2,6.18,48.79,2.14,190.08,204.51,437.51,,,,,,,,
"Marau",4311809,2.21,5.82,2.31,542,678,774,655,715,773,57,26.18,11.3,53.13,34.4,49.69,17.66,472.23,685.43,980.92,,,,,,,,
"Maravilha",2704609,6.41,18.16,6.03,0.3,343,569,367,381,539,46,32.64,9.64,58.92,11.5,43.48,5.89,78.36,85.8,229.39,,,,,,,,
"Maravilha",4210506,2.57,5.49,3.42,519,685,781,628,689,758,64,34.51,16.01,88.26,41.86,71.79,23.39,397.33,583,896.02,,,,,,,,
"Maravilhas",3139706,7.78,13.43,7.71,444,561,672,606,587,645,36,26.58,5.94,69.89,16.78,66.81,10.08,346.96,308.56,442.51,,,,,,,,
"Marcação",2509057,5.09,11.43,7.28,217,341,529,391,403,525,42,37.87,17.2,88.73,17.3,69.23,8.56,90.92,98.17,209.46,,,,,,,,
"Marcelândia",5105580,3.53,6.21,5.28,384,573,701,0.62,709,0.7,42,23.34,12.98,45.69,18.29,34.46,7.69,378.78,657.56,621.76,,,,,,,,
"Marcelino Ramos",4311908,1.73,4.5,2.9,478,631,724,597,657,735,29,26.41,8.85,65.27,26.85,62.33,14.72,329,475.84,777.41,,,,,,,,
"Marcelino Vieira",2407302,7.77,11.99,5.82,261,425,609,365,0.47,571,52,35.37,9.48,62.74,26.52,25.93,13.96,77.64,148.78,279.42,,,,,,,,
"Marcionílio Souza",2920809,19.09,32.52,25.67,193,408,561,373,487,518,34,22.88,6.58,45.44,6.28,41.17,1.37,81.71,166.14,201.52,,,,,,,,
"Marco",2307809,7.35,12.2,11.43,306,446,612,416,478,564,52,14.47,4.5,90.85,8.35,72.09,3.69,106.61,156.45,266.87,,,,,,,,
"Marcolândia",2205953,2.73,4.29,2.9,283,396,562,445,506,578,40,20.93,10.12,63.04,6.98,44.64,4.47,127.3,186.55,291.91,,,,,,,,
"Marcos Parente",2206001,13.52,26.32,16.25,334,466,0.59,381,511,0.58,49,30.03,11.92,95.2,20.56,55.48,12.91,85.87,192.53,295.66,,,,,,,,
"Mar de Espanha",3139805,1.99,2.02,3.78,475,616,684,556,651,694,47,33.09,14.52,89.94,15.63,69.31,11.6,254.21,459.37,598.93,,,,,,,,
"Marechal Cândido Rondon",4114609,2.81,8.04,2.17,569,705,774,634,711,782,52,39.36,11.29,64.91,50.31,49.41,31.68,413.67,669.62,1036.38,,,,,,,,
"Marechal Deodoro",2704708,11.82,20.35,18.97,349,463,642,461,536,641,33,27.83,11.34,43.1,13.78,32.68,7.7,140.73,224.09,431.43,,,,,,,,
"Marechal Floriano",3203346,3.35,6.89,4.84,0.41,585,0.71,567,0.66,715,44,17.39,4.73,72.77,16.73,63.2,9.78,271.9,484.9,683.63,,,,,,,,
"Marechal Thaumaturgo",1200351,4.99,9.98,4.43,186,301,501,361,395,479,34,40.67,15.78,39.16,12.1,27.41,1.7,75.84,93.59,157.27,,,,,,,,
"Marema",4210555,0.29,,2.75,459,634,743,546,686,748,40,35.93,8.8,69.3,35.28,69.3,26.23,239.09,570.77,840.58,,,,,,,,
"Mari",2509107,9.33,18.31,8.87,268,394,548,418,498,553,46,35.86,21.04,80.37,17.72,65.64,7.66,107.62,177.75,250.22,,,,,,,,
"Maria da Fé",3139904,6.81,16.18,10.56,398,572,702,565,0.62,646,37,25.46,7.52,65.98,19.08,56.51,12.55,269.14,379.9,445.11,,,,,,,,
"Maria Helena",4114708,2.44,6.3,5.75,391,0.58,703,511,557,0.68,45,17.56,5.78,80.47,16.85,76.34,10.67,192.38,255.89,552.13,,,,,,,,
"Marialva",4114807,3.12,10.12,2.55,519,647,735,643,694,733,44,33.42,17.8,85.23,27.76,64.91,16.93,438.08,601.41,765.58,,,,,,,,
"Mariana",3140001,9.69,21.1,10.2,493,0.62,742,596,638,705,37,33.07,17.58,75.46,35.07,65.44,13.59,325.58,424.84,641.84,,,,,,,,
"Mariana Pimentel",4311981,1.96,5.37,1.15,449,604,701,0.57,646,701,33,7.4,2.17,71.8,3.46,69.4,1.44,278.23,445.93,628.63,,,,,,,,
"Mariano Moro",4312005,0.69,1.36,0.95,483,656,0.73,621,706,763,56,19.3,2.24,53.93,20.76,50.94,17,380.95,648.81,925.46,,,,,,,,
"Marianópolis do Tocantins",1712504,5.33,11.92,2.73,321,497,631,454,0.6,0.63,32,23.59,12.39,40.34,9.21,33.74,4.13,134.91,334.64,403.96,,,,,,,,
"Mariápolis",3528908,3.62,9.95,1.1,488,634,718,629,601,684,36,17.56,12.68,81.1,18.02,81.1,8.95,400.6,336.55,565.58,,,,,,,,
"Maribondo",2704807,8.78,15.42,9.4,327,452,597,465,522,581,47,24.94,12.87,91.24,12.72,61.67,3.93,144.68,206.13,297.05,,,,,,,,
"Maricá",3302700,7.78,19.04,10.97,0.52,637,765,629,705,761,47,30.5,10.03,84.83,27.46,59.48,13.35,401.98,641.83,910.41,,,,,,,,
"Marilac",3140100,7.28,12.37,6.83,351,465,615,456,528,609,27,14.14,7.77,43,9.01,42.17,4.69,136.71,213.32,354.33,,,,,,,,
"Marilândia",3203353,3.03,5.12,4.05,482,597,696,566,613,668,42,24.94,5.29,69.04,31.26,66.47,19.44,270.45,363.52,510.91,,,,,,,,
"Marilândia do Sul",4114906,3.72,9.02,2.01,418,0.59,691,514,628,664,35,31.63,15.83,65.77,19.59,60.7,12.3,195.82,397.74,497.15,,,,,,,,
"Marilena",4115002,5,9.5,7.53,414,575,681,515,603,651,48,19.07,9,53.13,18.62,46.9,7.63,196.67,341.72,461.09,,,,,,,,
"Marília",3529005,7.07,17.14,9.09,601,725,798,714,746,768,63,30.9,11.85,100.87,39.31,73.48,22.31,679.59,830.87,953.2,,,,,,,,
"Mariluz",4115101,4.3,6.28,6.2,405,528,639,0.55,586,653,16,31.42,7.5,28.41,23.22,24.67,12.33,244.97,306.51,466.87,,,,,,,,
"Maringá",4115200,4.15,9.77,4.44,608,0.74,808,703,762,806,61,39.93,17.92,71.43,55.93,52.52,31.38,635.43,916.87,1202.63,,0.81,,1234.37,,0.8,,1173.41
"Marinópolis",3529104,0.98,5.3,,486,597,731,596,607,681,61,35.52,15.31,95.4,39.68,81.62,25.33,326.39,348.55,553.24,,,,,,,,
"Mário Campos",3140159,8.05,15.13,8.42,355,545,699,527,599,0.68,37,17.46,6.57,65.05,11.45,52.35,6.02,212.94,332.05,551.93,,,,,,,,
"Mariópolis",4115309,4.17,10.97,2.04,451,646,698,535,664,717,39,19.32,4.55,66.42,17.87,56.67,11.62,223.27,499.48,694.06,,,,,,,,
"Maripá",4115358,2.51,6.62,4.42,0.52,704,758,635,0.69,736,53,29.04,7.56,65.56,37.81,60.09,24.92,416.8,585.53,781.94,,,,,,,,
"Maripá de Minas",3140209,1.23,,1.22,468,567,0.68,555,664,668,48,28.18,,32.36,16.46,19.12,14.24,252.96,499.84,510.92,,,,,,,,
"Marituba",1504422,14.34,25.99,19.27,397,505,676,508,556,621,49,31.45,11.2,69.67,11.08,46.94,5.64,188.99,254.86,382.02,,,,,,,,
"Marizópolis",2509156,9.62,28.3,9.56,279,412,608,381,0.49,582,31,29.92,15.87,62.39,23.08,55.81,9.74,85.8,168.92,299.15,,,,,,,,
"Marliéria",3140308,10.12,19.94,13.62,415,554,657,0.47,595,629,38,22.93,3.54,84.78,7.63,75.83,1.46,148.85,325.29,401.74,,,,,,,,
"Marmeleiro",4115408,3.16,6.37,6.05,388,594,722,551,624,0.73,40,25.94,11.38,61.51,22.67,48.83,13.58,247.35,388.34,751.42,,,,,,,,
"Marmelópolis",3140407,3.89,16.51,6.01,342,523,0.65,0.48,574,615,25,21.3,9.09,68.65,14.28,63.17,6.99,158.77,284.93,367.73,,,,,,,,
"Marques de Souza",4312054,1.2,2.34,2.52,482,627,687,0.61,0.68,743,45,12.42,7.63,47.65,16.36,47.65,8.74,356.37,549.7,817.11,,,,,,,,
"Marquinho",4115457,0.93,3.59,2.32,228,433,614,406,0.53,615,16,20.71,4.03,14.14,14.01,11.72,7.84,100.17,216.85,366.3,,,,,,,,
"Martinho Campos",3140506,6.69,13.67,10.87,415,585,669,557,648,688,43,21.64,12.82,55.44,18.38,53.48,9.03,256.32,450.04,579.07,,,,,,,,
"Martinópole",2307908,6.09,18.78,5.29,275,407,599,386,424,541,47,31.62,10.94,103.02,26.46,73.23,13.28,88.63,112.14,232.17,,,,,,,,
"Martinópolis",3529203,5.59,13.73,4.72,516,645,721,645,651,703,41,18.4,6.86,62.76,20.75,57.97,10.69,443.09,458.48,636,,,,,,,,
