Código;Espacialidades;Taxa de desocupação - 18 anos ou mais 2010;Taxa de desocupação - 18 a 24 anos 2010;Taxa de desocupação - 25 a 29 anos 2010;IDHM 1991;IDHM 2000;IDHM 2010;IDHM Renda 1991;IDHM Renda 2000;IDHM Renda 2010;% de 0 a 5 anos na escola 2010;% de 18 a 24 anos na escola 2010;% de 25 a 29 anos na escola 2010;Taxa de frequência bruta à pré-escola 2010;Taxa de frequência bruta ao superior 2010;Taxa de frequência líquida à pré-escola 2010;Taxa de frequência líquida ao superior 2010;Renda per capita 1991;Renda per capita 2000;Renda per capita 2010
2202604;Castelo do Piauí;7.37;17.86;7.85;0.288;0.399;0.587;0.449;0.466;0.566;56;38.91;12.79;54.56;15.28;45;8.28;130.78;145.34;270.82
3511003;Castilho;7.3;11.21;8.59;0.502;0.634;0.731;0.619;0.618;0.688;37;24.44;4.05;84.94;25.03;78.75;18.56;377.55;374.01;579.36
4104907;Castro;4.95;11.08;7.37;0.456;0.613;0.703;0.619;0.651;0.704;37;20.32;8.39;33.95;19.91;24.78;9.9;377.04;460.48;639.54
2907301;Castro Alves;8.99;15.93;13.61;0.351;0.451;0.613;0.452;0.489;0.591;52;24.92;12.81;77.68;7.56;58.8;2.45;133.51;167.36;316.1
3115300;Cataguases;7.65;18.98;7.46;0.534;0.659;0.751;0.601;0.666;0.718;53;35.78;15.85;102.54;40.64;69.11;19.19;337.59;505.27;699.57
5205109;Catalão;6.03;12.55;7.02;0.533;0.662;0.766;0.624;0.694;0.769;45;34.26;15.92;80.2;42.66;63.47;23.21;389.29;600.38;959.4
3511102;Catanduva;4.75;10.56;4.6;0.582;0.705;0.785;0.706;0.731;0.767;54;27.1;9.9;92.78;30.54;68.91;17.99;649.09;757.21;945.05
4105003;Catanduvas;1.89;6.85;;0.421;0.569;0.678;0.564;0.619;0.677;37;35.66;13.74;54.03;22.82;46.59;11.9;266.91;375.76;539.43
4204004;Catanduvas;3.09;7.83;2.89;0.496;0.622;0.714;0.61;0.681;0.723;40;22.67;15.84;88.8;29.74;74.97;13.48;357.17;552.3;717.59
2303600;Catarina;16.33;34.09;19.16;0.266;0.412;0.618;0.439;0.416;0.551;51;20.41;11.21;60.14;6.05;42.92;3.63;122.72;106.26;246.38
3115359;Catas Altas;7.02;13.43;7.18;0.423;0.592;0.684;0.564;0.589;0.665;45;34.16;15.12;66.82;18.75;53.6;3.79;267.64;312.29;502.15
3115409;Catas Altas da Noruega;11.57;16.99;14.63;0.315;0.485;0.6;0.406;0.499;0.588;23;28.28;8.49;54.18;13.17;54.18;10.69;100.36;178.12;309.82
2604205;Catende;16.36;32.5;21.08;0.369;0.467;0.609;0.465;0.525;0.578;38;31.76;12.52;60.84;10.04;47.11;4.06;144.08;209.93;292.74
3511201;Catiguá;3.36;5.19;5.81;0.472;0.632;0.751;0.621;0.659;0.734;38;8.31;4;83.8;10.68;73.88;4.5;382.17;484.55;771.78
2504207;Catingueira;10.87;12.7;9.87;0.252;0.398;0.574;0.348;0.47;0.553;33;19.39;6.42;76.98;13.17;68.97;5.24;69.74;149.33;249.16
2907400;Catolândia;3.71;7.1;5.67;0.294;0.426;0.582;0.395;0.443;0.554;57;31.32;5.79;119;4.37;82.45;;93.18;125.66;251.21
2504306;Catolé do Rocha;7.88;18.29;9.46;0.371;0.495;0.64;0.442;0.533;0.617;35;26.71;12.84;61.2;20.98;55.34;11.12;125.13;220.03;371.92
2907509;Catu;17.44;32.05;21.74;0.404;0.536;0.677;0.512;0.58;0.66;43;33.44;11.82;94.36;12.71;63.76;6.25;193.1;294.78;486.05
4305009;Catuípe;3.6;11.25;6.54;0.542;0.635;0.739;0.636;0.667;0.763;42;33.24;12.27;58.37;42.95;56.46;20.89;419.15;507.06;920.96
3115458;Catuji;8.11;16.51;11.7;0.211;0.405;0.54;0.4;0.49;0.534;13;23.64;10.43;32.3;11.19;29.14;6.02;96.62;168.89;221.41
2303659;Catunda;5.3;14.83;7.91;0.249;0.427;0.609;0.356;0.418;0.537;67;18.9;4;67.92;9.07;53.77;4.06;73.11;107.87;225.43
5205208;Caturaí;6.26;14.6;6.48;0.396;0.527;0.664;0.524;0.585;0.665;25;24.12;3.5;44.85;16.84;44.85;11.57;209.04;304.88;500.32
2907558;Caturama;6.62;12.15;6.6;0.246;0.394;0.571;0.379;0.435;0.543;49;23.76;9.31;56.48;10.99;54.76;6.02;84.72;119.83;234.88
2504355;Caturité;1.72;4.59;1.35;0.288;0.46;0.623;0.416;0.491;0.617;42;24.83;6.75;81.55;10.12;58.67;5.1;106.27;170.16;371.05
3115474;Catuti;6.67;15.67;10.78;0.205;0.413;0.621;0.362;0.437;0.563;38;18.74;6.23;79.35;7.24;62.67;2.83;76.19;121.74;265.76
2303709;Caucaia;8.47;17.75;8.85;0.411;0.555;0.682;0.507;0.56;0.62;52;23.69;10.73;90.51;15.25;64.9;6.63;187.29;260.56;379.63;;0.62;;382.75;;0.62;;376.63
5205307;Cavalcante;9.97;14.76;6.83;0.285;0.396;0.584;0.458;0.509;0.595;20;25.98;9.4;40.18;11.06;37.69;4.13;138.66;190.08;324.92
3115508;Caxambu;9.71;22.08;16.52;0.538;0.649;0.743;0.608;0.674;0.77;59;28.72;13.77;87.73;24.44;78.62;12.71;352;528.99;963.25
4204103;Caxambu do Sul;1.64;3.16;1.11;0.437;0.623;0.691;0.508;0.718;0.725;33;24.67;8.69;69.35;21.66;65.55;13.08;189.21;698.49;730.36
2103000;Caxias;7.58;16.51;8.83;0.357;0.469;0.624;0.461;0.522;0.595;38;36.66;18.27;57.86;27.41;44.41;11.86;141.02;206.26;324.9
4305108;Caxias do Sul;3.8;6.78;4.87;0.594;0.705;0.782;0.728;0.771;0.812;28;36.31;20.95;40.24;56.73;32.06;26.15;740.85;967.79;1253.93;;0.82;;1292.26;;0.81;;1217.1
2202653;Caxingó;4.8;9.4;2.94;0.142;0.267;0.488;0.341;0.418;0.498;36;25.24;17.34;50.58;5.65;44.52;2.69;66.65;107.66;177.35
2402600;Ceará-Mirim;12.06;23.47;14.41;0.355;0.477;0.616;0.468;0.523;0.599;42;27.95;12.99;65.09;15.32;54.39;6.63;146.85;207.45;332.89
2103109;Cedral;5.65;13.59;8.05;0.342;0.452;0.605;0.43;0.43;0.52;42;32.97;16.32;114.51;9.92;84.02;3.69;116.05;115.86;202.86
3511300;Cedral;4.44;12.39;3.65;0.528;0.657;0.766;0.634;0.685;0.749;59;21.99;4.23;100.41;23.9;93.47;15.54;414.19;567.38;845.41
2303808;Cedro;5.67;12.36;8.78;0.373;0.473;0.627;0.491;0.508;0.592;50;29.86;13.76;76.67;17.84;60.25;7.61;170.15;189;317.69
2604304;Cedro;6.21;8.23;12.25;0.311;0.459;0.615;0.387;0.505;0.565;43;27.26;13.37;79.66;11.8;60;6.4;88.81;185.05;269.64
2801603;Cedro de São João;8.2;18.55;16.98;0.445;0.524;0.623;0.495;0.519;0.608;63;33.21;6.47;124.67;17.85;77.69;13.33;173.63;202.16;352.53
3115607;Cedro do Abaeté;8.88;38.56;14.07;0.413;0.56;0.678;0.505;0.568;0.641;52;25.03;4.89;107.6;27.45;81.21;18.36;185.14;274.58;431.2
4204152;Celso Ramos;0.15;;0.7;0.451;0.562;0.719;0.51;0.557;0.651;52;31.89;9.33;83.08;31.79;74.04;22.37;191.75;256.18;458.62
1704105;Centenário;12.9;18.58;9.51;0.209;0.407;0.569;0.369;0.459;0.571;45;27.18;6.99;33.1;5.84;32.2;3.36;79.73;138.82;280.17
4305116;Centenário;0.97;4.25;2.59;0.39;0.545;0.701;0.572;0.555;0.707;41;15.08;3.88;96.66;20.15;78.74;10.96;280.53;252.71;651.77
4105102;Centenário do Sul;5.31;8.25;6.52;0.444;0.603;0.668;0.586;0.604;0.686;50;20.08;4.66;68.08;17.16;60.47;8.66;306.22;343.71;571.32
2907608;Central;10.06;20.65;11.07;0.323;0.453;0.596;0.435;0.49;0.54;40;19.98;6.05;98.39;10.11;57.59;3.47;119.62;168.62;231.1
3115706;Central de Minas;8.65;12.53;12.96;0.418;0.539;0.665;0.502;0.575;0.663;21;16.9;3.7;70.21;15.26;67.65;6.75;182.16;286.81;494.1
2103125;Central do Maranhão;4.11;9.5;4.83;0.26;0.392;0.585;0.375;0.436;0.503;48;28.09;8.96;93.86;16.33;70.77;4.37;82.4;120.85;182.77
3115805;Centralina;5.06;10.95;5.82;0.512;0.572;0.678;0.569;0.609;0.654;40;22.7;10.35;54.32;17.15;50.56;10.79;275.38;354.07;468.15
2103158;Centro do Guilherme;4.72;8.26;5.59;0.16;0.307;0.542;0.369;0.436;0.51;48;36.78;20.22;76.67;5.88;59.76;1.44;79.56;120.34;190.58
2103174;Centro Novo do Maranhão;9.13;17.33;7.38;0.181;0.321;0.518;0.389;0.444;0.508;44;35.24;17.96;43.59;12.97;28.13;3.8;89.87;127.08;188.88
1100056;Cerejeiras;5.42;11.13;7.22;0.386;0.542;0.692;0.547;0.668;0.688;31;26.68;14.77;54.11;20.94;49.74;10.77;240.1;511.47;577.18
5205406;Ceres;4.58;12.68;4.28;0.543;0.654;0.775;0.65;0.69;0.753;48;39.83;17.3;72.51;52.88;64.22;27.44;456.24;584.82;865.23
3511409;Cerqueira César;4.71;9.59;7;0.494;0.631;0.729;0.662;0.672;0.71;41;21.76;5.69;54.1;22.3;45.89;11.93;493.68;524.69;665.36
3511508;Cerquilho;4.06;6.63;4.08;0.559;0.713;0.782;0.726;0.745;0.758;61;23.6;12.18;95.43;30.08;86.07;14.99;731.31;826.27;894.52
4305124;Cerrito;4.23;12.35;7.02;0.415;0.574;0.649;0.569;0.598;0.657;17;26.22;7.45;34;17.97;31.1;12.12;276.03;329.55;476.66
4105201;Cerro Azul;2.25;5.24;2.69;0.297;0.45;0.573;0.482;0.55;0.604;24;17.68;5.29;22.03;11.46;19.73;5.04;160.89;245.88;342.88
4305132;Cerro Branco;1.03;0.81;4.25;0.42;0.544;0.661;0.534;0.628;0.671;39;18.67;3.89;58.86;18.67;53.13;13.3;222.28;398.29;519.95
2402709;Cerro Corá;6.13;13.83;9.09;0.308;0.433;0.607;0.392;0.459;0.573;47;17.78;8.98;69.26;9.73;57.34;2.66;91.45;139.45;282.84
4305157;Cerro Grande;0.89;5.25;1.81;0.388;0.557;0.674;0.458;0.569;0.676;25;27.99;9.83;50.88;39.47;43.5;19.33;138.01;275.41;538.45
4305173;Cerro Grande do Sul;1.05;2.96;1.49;0.371;0.513;0.66;0.599;0.595;0.673;13;14.76;7.22;25.29;22.58;25.29;8.51;333.17;324.3;527.88
4305207;Cerro Largo;3.58;10.08;4.82;0.541;0.664;0.764;0.581;0.661;0.752;33;31.69;8.94;50.19;39.45;48.97;26.74;298.14;489.08;862.05
4204178;Cerro Negro;2.79;10.67;4.86;0.325;0.475;0.621;0.461;0.528;0.634;35;17.47;5.99;37.73;13.08;37.73;7.79;140.66;213.16;414.6
3511607;Cesário Lange;4.21;7.74;5.35;0.485;0.622;0.706;0.624;0.651;0.715;42;11.66;8.83;71.59;11.02;63.89;3.98;389.51;460.44;684.95
4105300;Céu Azul;4.69;11.61;5.25;0.478;0.644;0.732;0.603;0.671;0.732;55;27.51;6.14;99.51;33.68;72.25;19.29;340.03;520.25;759.41
5205455;Cezarina;7.71;17.81;8.57;0.434;0.581;0.711;0.586;0.615;0.684;33;21.43;6.52;92.83;17.74;79.6;8.39;306.1;366.5;564.44
3115904;Chácara;1.67;10.12;2.69;0.429;0.561;0.664;0.594;0.609;0.65;52;29.66;25.51;97.84;17.37;74.18;7.77;321.44;353.06;456.42
2604403;Chã de Alegria;18.51;31.9;20.36;0.312;0.447;0.604;0.413;0.452;0.546;43;24.01;9.1;89.89;8.29;79.31;1.61;104.82;132.88;239.04
2604502;Chã Grande;8.38;17.32;10.2;0.282;0.427;0.599;0.483;0.509;0.603;48;30.18;10.35;78.04;9.66;59.96;4.7;161.9;190.04;341.34
3116001;Chalé;4.28;9.53;8.28;0.383;0.583;0.655;0.49;0.576;0.636;29;21.08;9.44;59.65;16.05;59.65;7.26;169.09;288.48;418.8
4305306;Chapada;1.7;5.52;1.43;0.49;0.642;0.757;0.602;0.659;0.752;45;23.76;3.43;59.59;25.6;59.59;19.25;339.38;484.24;860.15
1705102;Chapada da Natividade;10.49;17.09;10.25;0.239;0.401;0.62;0.406;0.579;0.59;22;24.79;2.2;29.61;2.53;29.61;2.53;99.98;293.29;315.34
1704600;Chapada de Areia;6.35;15.4;13.41;0.24;0.41;0.619;0.414;0.595;0.619;20;26.69;14.87;51;5.79;51;3.02;105.1;325.14;376.48
3116100;Chapada do Norte;5.43;6.05;8.53;0.264;0.427;0.598;0.461;0.498;0.571;48;21.19;10.23;59.87;8.37;53.56;4.59;141.13;177.7;279.92
5103007;Chapada dos Guimarães;5.5;11.72;7.7;0.394;0.522;0.688;0.566;0.619;0.677;32;25.08;15.66;58.48;17.44;50.98;8.1;271.69;376.82;540.98
3116159;Chapada Gaúcha;6.12;14.25;8.71;0.208;0.484;0.635;0.438;0.555;0.573;26;26.05;16.69;41.53;12.25;41.53;5.24;122.5;253.67;282.53
5205471;Chapadão do Céu;2.89;3.94;2.24;0.425;0.618;0.742;0.588;0.664;0.748;48;14.82;4.7;61.99;14.61;58.59;7.69;311.34;498.64;841.5
4204194;Chapadão do Lageado;;;;0.404;0.49;0.704;0.598;0.587;0.68;55;19.85;12.45;95.99;20.21;79.91;11.75;331.21;308.15;549.08
5002951;Chapadão do Sul;3.53;6.61;2.51;0.541;0.656;0.754;0.699;0.751;0.758;55;26.45;8.43;83.82;30.33;65.87;16.88;621.32;857.52;896.92
2103208;Chapadinha;7.75;17.05;9.93;0.328;0.42;0.604;0.444;0.466;0.554;34;27.66;10.47;64.32;13.95;56.02;6.71;127.05;145.19;251.75
4204202;Chapecó;3.87;6.99;3.37;0.529;0.682;0.79;0.643;0.713;0.779;59;33;16.61;73.2;44.45;61.85;22.24;437.01;674.35;1017.34
2701902;Chã Preta;2.1;4.96;4.03;0.287;0.383;0.575;0.405;0.437;0.537;37;21.22;4.43;54.29;13.61;48.46;4.85;99.58;121.46;226.6
3511706;Charqueada;6.2;10.09;5.26;0.515;0.636;0.736;0.655;0.68;0.72;39;18.59;10.54;74.01;18.86;68.8;12.15;471.78;551.39;705.01
4305355;Charqueadas;6.54;14.02;6.62;0.551;0.649;0.747;0.613;0.673;0.726;49;25.67;13.74;53.98;33.72;47.05;11.19;363.44;525.56;734.59
4305371;Charrua;0.87;3.33;1.48;0.375;0.501;0.62;0.532;0.588;0.699;9;28.28;3.66;19.41;24.85;19.41;21.83;219.61;310.36;618.89
2303907;Chaval;4.68;13.74;6.77;0.274;0.398;0.586;0.388;0.456;0.524;56;29.2;9.46;100.94;15.88;72.51;9;89.58;136.43;208.7
3557204;Chavantes;6.6;12.56;8.53;0.47;0.642;0.729;0.604;0.672;0.713;46;22.77;7.15;101.51;25.03;76.09;12.61;344.09;522.21;677.3
1502509;Chaves;7.22;10.8;15.58;0.179;0.289;0.453;0.437;0.442;0.516;27;28.72;12.44;37.77;1.27;27;0.23;121.66;125.16;198.83
3116209;Chiador;4.13;8.96;5.41;0.456;0.59;0.711;0.49;0.603;0.742;33;26.14;14.29;56.69;29.21;52.88;15.41;169.14;340.32;808.78
4305405;Chiapetta;2.49;5.77;8.75;0.496;0.606;0.732;0.585;0.607;0.702;46;32.05;10.31;77.12;47.4;72.48;25.51;305.14;349.23;632.18
4105409;Chopinzinho;2.98;5.63;4.39;0.424;0.623;0.74;0.532;0.645;0.74;43;29.59;11.82;64.23;34.3;53.32;19.31;218.85;442.43;802.23
2303931;Choró;10.29;25.02;13.67;0.246;0.38;0.585;0.371;0.409;0.493;64;28.32;8.02;55.35;17.29;47.9;8.26;80.65;102.17;171.62
2303956;Chorozinho;7.1;13.48;5.59;0.253;0.437;0.604;0.442;0.483;0.57;45;22.48;6.23;73.79;13.73;55.35;5.87;125.16;162.08;277.4
2907707;Chorrochó;7.52;13.74;8.89;0.305;0.426;0.6;0.429;0.46;0.552;44;42.03;27.47;54.45;14.06;48.66;9.34;115.29;140.19;248.5
4305439;Chuí;4.23;8.94;9.09;0.539;0.654;0.706;0.712;0.7;0.676;53;28.98;10.53;87.82;26.1;65.83;14.17;670.38;623.18;535.86
1100924;Chupinguaia;2.79;6.29;2.16;0.281;0.479;0.652;0.529;0.616;0.659;30;21.57;16.8;43.21;14.42;40.09;2.77;215.23;369.03;483.36
4305447;Chuvisca;0.47;0.65;1.36;0.296;0.481;0.616;0.55;0.657;0.655;21;14.85;4.5;36;5;33.49;2.98;244.93;476.98;471.66
4105508;Cianorte;3.16;6.95;2.54;0.505;0.639;0.755;0.626;0.698;0.747;39;28.83;9.72;56.9;32.91;49.69;19.97;393.48;615.21;837.13
2907806;Cícero Dantas;5.17;10.89;7.11;0.29;0.417;0.585;0.443;0.514;0.59;41;26.08;11;58.84;11.6;42.72;6.19;126.28;195.66;315.19
4105607;Cidade Gaúcha;4.72;10.81;6.54;0.455;0.608;0.718;0.573;0.643;0.712;51;25.71;7.52;69.89;26.1;64.61;12.36;283.18;438.4;671.1
5205497;Cidade Ocidental;8.26;14.89;10.2;0.538;0.638;0.717;0.65;0.67;0.706;33;29.76;19.92;58.51;29.63;47.49;11.35;457;516.37;647.64
2103257;Cidelândia;6.04;12.79;7.97;0.286;0.414;0.6;0.434;0.481;0.562;48;23.94;16.96;64.15;8.79;56.89;4.58;119.16;159.98;263.53
4305454;Cidreira;6.32;8.41;7.87;0.466;0.64;0.729;0.621;0.691;0.73;45;21.64;7.5;61.41;20.25;51.9;7.98;381.85;589.2;750.55
2907905;Cipó;4.62;7.44;6.82;0.348;0.444;0.601;0.461;0.505;0.589;44;23.68;7.56;99.95;8.14;74.39;3.07;140.68;185.12;312.03
3116308;Cipotânea;4.21;8.82;5.27;0.313;0.436;0.579;0.394;0.475;0.592;20;20.47;8.45;44.45;9.94;42.85;6.89;92.98;153.45;317.62
4305504;Ciríaco;2.22;3.75;3.84;0.446;0.595;0.719;0.55;0.662;0.724;32;32.56;9.53;48.45;33.47;43.41;23.55;245.9;493.04;725.12
3116407;Claraval;3.43;5.39;3.35;0.412;0.505;0.698;0.59;0.603;0.687;34;13.51;5.54;69.95;12.8;59.81;6.38;313.93;341.6;575.11
3116506;Claro dos Poções;5.85;13.85;13.74;0.318;0.537;0.67;0.444;0.521;0.601;36;18.12;2.54;90.05;17.45;82.6;10.58;126.86;204.34;337.07
5103056;Cláudia;5.2;8.94;6.72;0.398;0.563;0.699;0.654;0.685;0.719;42;23.36;11;62.38;20.39;52.75;10.22;468.45;566.76;700.38
3116605;Cláudio;3.92;6.07;4.32;0.431;0.597;0.709;0.562;0.629;0.701;31;25.36;5.51;71.93;18.36;66.91;11.81;264.77;400.38;625.88
3511904;Clementina;4.73;7.12;6.12;0.526;0.636;0.725;0.614;0.623;0.704;46;17.48;4.5;113.19;16.44;85.71;11.17;366.12;385.82;640.87
4105706;Clevelândia;5.47;11.49;7.73;0.432;0.55;0.694;0.553;0.623;0.718;21;24.1;9.54;19.62;28.41;19.62;13.2;249.83;386.28;696.71
2908002;Coaraci;12.09;27.97;15.37;0.354;0.433;0.613;0.456;0.52;0.615;46;39.55;19.91;73.58;24.83;58.11;10.08;136.38;203.09;366.33
1301209;Coari;11.48;21.38;12.77;0.312;0.389;0.586;0.467;0.481;0.606;21;34.33;20.04;32.71;11.16;27.4;4.89;146.23;159.29;347.2
2202703;Cocal;5.69;10.36;11.04;0.219;0.319;0.497;0.374;0.436;0.516;20;34.22;18.88;40.39;7.26;35.6;1.98;81.97;120.31;198.58
2202711;Cocal de Telha;12.28;31.8;12.08;0.252;0.384;0.555;0.406;0.451;0.55;43;32.02;10.68;71.44;14.45;58.13;5.53;99.79;132.4;245.15
2202729;Cocal dos Alves;3.1;14.25;1.86;0.154;0.264;0.498;0.318;0.418;0.504;29;29.13;6.83;70.26;9.99;68.57;6.59;57.72;108.07;183.59
4204251;Cocal do Sul;4.17;5.7;6.15;0.569;0.695;0.78;0.642;0.682;0.747;53;27.69;17.48;98.62;35.44;80.78;20.33;434.98;556.5;833.24
5103106;Cocalinho;6.99;13.18;6.93;0.328;0.5;0.66;0.565;0.643;0.674;23;20.57;7.5;29.34;11.56;29.34;5.14;268.84;436.11;531.41
5205513;Cocalzinho de Goiás;8.27;12.9;8.68;0.363;0.506;0.657;0.547;0.567;0.648;30;19.08;7.55;54.69;15.77;45.63;6.33;240.65;272.38;450.47
2908101;Cocos;12.04;13.9;15.74;0.26;0.413;0.596;0.431;0.482;0.558;34;22.95;6.12;66.74;5.74;45.5;4.02;116.62;160.51;258.27
1301308;Codajás;8.92;20.58;10.15;0.355;0.44;0.563;0.539;0.543;0.546;21;30.02;10.93;23.75;6.78;21.37;3.3;229.61;234.31;239.64
2103307;Codó;8.51;18.69;9.53;0.301;0.4;0.595;0.434;0.472;0.568;38;29.49;12.85;61.62;12.58;46.26;5.53;119.2;150.53;273.45
2103406;Coelho Neto;11.03;25.09;11.71;0.274;0.387;0.564;0.467;0.488;0.544;34;29.96;14.63;45.18;8.64;40.61;3.18;146.01;167.17;236.47
3116704;Coimbra;3.32;8.93;4.64;0.413;0.581;0.669;0.511;0.603;0.649;44;31.2;5.7;80.6;29.88;71.77;20.27;192.53;340;454.81
2702009;Coité do Nóia;2.38;4.12;4.22;0.235;0.354;0.533;0.418;0.44;0.52;29;30.67;6.82;56.15;11.15;52.29;3.59;107.71;123.33;203.15
2202737;Coivaras;4.74;7.69;6.74;0.23;0.37;0.565;0.392;0.429;0.543;42;30.09;13.47;57.7;8;53.05;3.55;91.57;115.2;234.94
1502608;Colares;5.41;13.27;8.36;0.389;0.524;0.602;0.447;0.511;0.541;47;29.3;6.01;117.51;5.61;74.98;;129.4;192.7;231.98
3201506;Colatina;5.49;13.03;4.93;0.546;0.657;0.746;0.609;0.682;0.738;50;28.08;11.82;67.07;31.04;57.86;17.08;354.41;557.04;788.29
5103205;Colíder;4.85;8.76;7.39;0.355;0.575;0.713;0.553;0.675;0.732;43;29.83;15.05;55.52;36.01;53.2;16.16;250.32;532.6;758.67
3512001;Colina;7.63;19.75;8.08;0.522;0.663;0.757;0.646;0.674;0.72;48;25.01;9.73;78.41;25.69;74.55;16.63;444.88;530.85;706.69
2103505;Colinas;6.6;13.99;9.05;0.324;0.408;0.596;0.483;0.468;0.571;34;16.35;7.17;70.87;9.15;60.33;2.87;161.53;147.23;279.81
4305587;Colinas;1.31;4.01;2.76;0.535;0.625;0.765;0.619;0.681;0.786;56;22.38;12.71;48.55;42.18;48.55;18.23;375.94;555.65;1066.39
5205521;Colinas do Sul;11.11;27.53;7.74;0.377;0.472;0.658;0.525;0.532;0.633;30;17.96;10.59;50.89;18.57;46.1;3.37;209.59;219.6;410.83
1705508;Colinas do Tocantins;6.78;13.2;7.64;0.418;0.561;0.701;0.591;0.635;0.69;45;26.4;19.04;72.3;28.66;56.16;12.2;316.38;416.62;587.11
1716703;Colméia;6.07;9.6;9.04;0.391;0.502;0.671;0.549;0.58;0.645;32;29.96;9.3;51.41;21.48;42.78;8.87;243.5;294.77;442.96
5103254;Colniza;4.72;5.33;4.35;0.31;0.404;0.611;0.563;0.596;0.633;21;13.21;10.42;37.89;5.67;35.07;1.24;265.38;326.74;411.69
3512100;Colômbia;8.05;18.72;7.3;0.466;0.607;0.71;0.595;0.678;0.689;54;22.66;10.18;81.94;22.87;80.36;13.2;324.17;543.21;582.53
4105805;Colombo;4.41;8.71;4.55;0.474;0.63;0.733;0.607;0.657;0.715;42;22.48;10.63;50.29;21.15;44.04;9.84;349.65;476.96;682.85
2202752;Colônia do Gurguéia;8.18;20.39;6.94;0.337;0.445;0.628;0.404;0.461;0.578;53;43.52;22.17;91.59;18.54;63.59;12.45;99.1;140.88;291.37
2202778;Colônia do Piauí;3.15;9.24;2.85;0.233;0.335;0.588;0.359;0.435;0.57;44;23.29;12.03;120.03;14.01;83.73;4.63;74.58;119.77;277.73
2702108;Colônia Leopoldina;10.92;21.79;15.35;0.255;0.377;0.517;0.403;0.478;0.548;26;24.53;10;39.58;7.67;34.05;4.09;98.44;156.88;242.28
4105904;Colorado;5;9.73;7.79;0.504;0.649;0.73;0.616;0.683;0.747;28;26.67;14.26;37.06;22.28;27.42;11.43;369.16;560.59;833.7
4305603;Colorado;4.71;14.45;11.18;0.548;0.665;0.758;0.713;0.743;0.775;39;36.48;14.74;64.02;45.13;55.47;26.73;676.65;812.99;996.93
1100064;Colorado do Oeste;5.76;14.84;6.42;0.376;0.545;0.685;0.536;0.629;0.676;24;36.98;16.75;41.62;41.96;40.11;21.92;224.82;401.32;535.41
3116803;Coluna;4.15;9.56;5.09;0.311;0.461;0.583;0.463;0.535;0.59;20;17.62;5.41;42.76;7.89;39.4;3.51;142.62;224;315
1705557;Combinado;9.08;18.81;8.56;0.341;0.526;0.697;0.479;0.574;0.649;39;22.18;6.51;104.58;20.92;74.23;9.84;157.9;285.2;455.39
3116902;Comendador Gomes;0.99;;1.19;0.413;0.619;0.697;0.64;0.67;0.703;18;21.35;1.99;50.27;16.36;45.6;13.59;429.58;517.02;635.2
3300951;Comendador Levy Gasparian;10.76;25.77;15.32;0.463;0.597;0.685;0.55;0.623;0.676;62;29.39;7.07;112.71;19.36;83.7;10.49;244.74;386.19;537.66
3117009;Comercinho;4.49;13.04;5.37;0.259;0.413;0.593;0.395;0.428;0.566;38;25.67;11.27;58.32;16.2;58.32;6.75;93.24;114.78;271.4
5103304;Comodoro;4.93;8.68;5.33;0.389;0.521;0.689;0.583;0.656;0.687;27;18.79;6.78;37.28;15.74;33.32;6.98;301.59;474.42;573.89
2504405;Conceição;8.98;16.47;14.53;0.314;0.439;0.592;0.377;0.476;0.577;31;32.25;13.26;60.38;11.91;52.07;7.73;83.41;154.56;290.63
3117108;Conceição da Aparecida;3.46;7.8;5.44;0.447;0.603;0.691;0.553;0.695;0.688;33;20.82;9.18;56.35;15.24;54.53;7.72;249.78;602.99;579.34
3201605;Conceição da Barra;10.91;20.49;14.47;0.407;0.57;0.681;0.532;0.589;0.648;44;17.81;13.53;70.48;14.64;60.76;5.41;218.72;312.62;450.71
3115201;Conceição da Barra de Minas;5.23;11.26;4.13;0.387;0.538;0.685;0.438;0.552;0.668;35;13.06;8.39;66.67;14.68;66.67;8.09;122.18;247.64;511.91
2908200;Conceição da Feira;18.14;31.49;23.56;0.365;0.496;0.634;0.477;0.51;0.606;45;28.62;8.37;88.58;10.85;69.93;3.82;155.31;190.72;348.39
3117306;Conceição das Alagoas;4.99;7.7;5.72;0.486;0.603;0.712;0.637;0.693;0.734;34;18.5;6.56;54.74;19.26;49.37;11.94;422.14;598.23;770.02
3117207;Conceição das Pedras;1.44;1.68;3.92;0.403;0.571;0.668;0.584;0.595;0.642;36;28.57;20.01;94.86;22.93;94.86;11.22;303.24;323.61;434.68
3117405;Conceição de Ipanema;3.52;6.13;4.16;0.367;0.536;0.676;0.517;0.606;0.664;29;17.93;5.02;54.6;10.03;54.6;6.64;199.55;346.39;497.4
3301405;Conceição de Macabu;9.23;16.75;11.78;0.483;0.615;0.712;0.573;0.641;0.698;51;28.59;10.21;116.74;17.75;75.77;7.83;283.42;431.82;614.57
2908309;Conceição do Almeida;24.31;46.04;31.54;0.356;0.482;0.606;0.447;0.502;0.578;47;31.42;8.72;63.18;13.03;49.65;5.89;128.84;181.79;290.98
1502707;Conceição do Araguaia;6.97;13.9;6.87;0.371;0.512;0.64;0.532;0.585;0.631;25;34.92;14.86;45.09;23.52;36.16;9.61;219.78;304.21;405.29
2202802;Conceição do Canindé;4.24;10.29;7.28;0.282;0.39;0.589;0.384;0.474;0.559;39;33.59;19.59;75.68;15.14;61.95;5.55;87.5;152.72;258.93
