Código;Espacialidades;Taxa de desocupação - 18 anos ou mais 2010;Taxa de desocupação - 18 a 24 anos 2010;Taxa de desocupação - 25 a 29 anos 2010;IDHM 1991;IDHM 2000;IDHM 2010;IDHM Renda 1991;IDHM Renda 2000;IDHM Renda 2010;% de 0 a 5 anos na escola 2010;% de 18 a 24 anos na escola 2010;% de 25 a 29 anos na escola 2010;Taxa de frequência bruta à pré-escola 2010;Taxa de frequência bruta ao superior 2010;Taxa de frequência líquida à pré-escola 2010;Taxa de frequência líquida ao superior 2010;Renda per capita 1991;Renda per capita 2000;Renda per capita 2010
3548005;Santo Antônio de Posse;4.64;7.9;2.8;0.484;0.619;0.702;0.681;0.702;0.718;50;22.49;10.09;87.59;17.25;76.06;6.92;553.29;630.13;695.67
3159902;Santo Antônio do Amparo;5.05;12.75;5.27;0.432;0.579;0.672;0.535;0.612;0.641;39;21.56;5.74;76.6;11.73;69.86;6.67;222.66;359.83;431.56
3548054;Santo Antônio do Aracanguá;3.8;8.59;2.22;0.447;0.659;0.757;0.568;0.633;0.71;59;26.36;23.95;73.57;31.29;57.23;11.44;274.81;412.23;662.71
3160009;Santo Antônio do Aventureiro;1.32;3.23;0.95;0.373;0.555;0.671;0.498;0.568;0.66;28;19.4;4.84;62.33;21.06;52.8;8.48;177.17;274.05;485.5
4124202;Santo Antônio do Caiuá;3.14;5.71;;0.44;0.585;0.696;0.557;0.586;0.65;74;35.68;11.81;90.75;28.99;71.09;13.34;256.84;305.81;455.52
5219753;Santo Antônio do Descoberto;8.05;15.59;8.29;0.409;0.526;0.665;0.559;0.576;0.647;32;25.83;12.91;52.19;15.05;41.8;4.89;259.44;287.76;449.39
3160108;Santo Antônio do Grama;6.86;18.03;9.02;0.397;0.508;0.633;0.508;0.572;0.626;45;33.97;5.01;36.4;20.98;33.74;12.03;188.52;280.53;393.12
1303700;Santo Antônio do Içá;7.04;10.8;12.83;0.206;0.306;0.49;0.346;0.39;0.438;28;41.89;16.24;42.3;4.03;32.64;2.69;68.96;90.43;122.21
3160207;Santo Antônio do Itambé;2.36;6.97;4.9;0.238;0.392;0.558;0.401;0.462;0.537;22;30.54;5.31;24.52;9.26;19.95;8.06;97.27;141.44;225.85
3160306;Santo Antônio do Jacinto;7.56;13.98;6;0.227;0.427;0.574;0.409;0.47;0.575;37;23.96;9.85;60.5;9.16;55.5;3.46;101.9;148.7;286.56
3548104;Santo Antônio do Jardim;3.03;7.54;2.36;0.463;0.615;0.714;0.628;0.654;0.703;54;15.08;2;92.44;11.41;72.7;8.87;398.38;468.08;635.11
5107792;Santo Antônio do Leste;1.24;1.85;1.87;0.371;0.529;0.655;0.534;0.593;0.658;37;15.71;3.65;89.95;5.45;70.02;1.58;222.39;320.63;481.45
5107800;Santo Antônio do Leverger;5.33;11.35;7.95;0.363;0.534;0.656;0.502;0.605;0.651;40;25.59;8.3;38.66;13.48;38.66;6.53;181.74;345.54;460.13
3160405;Santo Antônio do Monte;2.28;3.6;2.01;0.484;0.623;0.724;0.606;0.69;0.736;39;15.32;4.35;72.77;14.34;58.83;9.1;348.11;587.14;781.49
4317558;Santo Antônio do Palma;0.56;0.72;2.14;0.453;0.667;0.764;0.579;0.699;0.787;29;21.75;5.22;77.96;19.64;69.63;14.21;293.23;618.15;1069.61
4124301;Santo Antônio do Paraíso;4.04;9.06;10.46;0.404;0.585;0.716;0.55;0.601;0.683;56;39.35;13.98;67.09;45.52;58.53;26.88;245.79;337.64;561.33
3548203;Santo Antônio do Pinhal;2.89;9.4;;0.442;0.616;0.706;0.623;0.684;0.685;42;13.96;6.84;88.41;10.87;62.49;6.11;385.65;566.12;569.08
4317756;Santo Antônio do Planalto;4.51;17.03;6.33;0.51;0.693;0.759;0.63;0.642;0.701;29;24.34;11.97;63.54;29.35;63.54;12.93;403.53;435.13;626.67
3160454;Santo Antônio do Retiro;13.79;32.32;16.51;0.222;0.376;0.57;0.351;0.428;0.504;19;13.72;4.49;31.95;4.6;31.95;3.31;70.93;114.64;183.75
3160504;Santo Antônio do Rio Abaixo;5.21;13.61;6.59;0.314;0.537;0.669;0.436;0.586;0.616;28;32.07;7.96;75.41;20.57;70.48;13.19;120.69;305.94;370.28
2110302;Santo Antônio dos Lopes;7.53;16.93;7.54;0.265;0.379;0.566;0.439;0.46;0.547;50;25.7;13.64;68.17;10.05;45.57;3.88;122.76;139.9;240.2
2209450;Santo Antônio dos Milagres;13.73;21.36;25.15;0.324;0.444;0.619;0.368;0.405;0.524;54;27.19;9.94;99.34;21.42;69.75;5.77;79.17;99.27;208.58
4124400;Santo Antônio do Sudoeste;3.23;8.01;2.33;0.406;0.576;0.671;0.518;0.598;0.69;30;26.86;11.21;36.9;23.98;31.69;12.29;201.16;329.84;585.95
1507003;Santo Antônio do Tauá;8.94;18.52;11.01;0.365;0.475;0.632;0.463;0.494;0.598;41;31.43;10.46;80.4;13.56;62.45;4.24;142.25;173.03;331.12
4317806;Santo Augusto;4.92;11.27;5.78;0.48;0.627;0.739;0.616;0.641;0.753;48;38.37;13.94;86.08;41.08;70.17;24.3;368.56;431.68;866.86
4317905;Santo Cristo;1.65;5.65;1.6;0.503;0.642;0.738;0.57;0.643;0.746;46;30.89;12.58;57.5;36.4;53.87;21.18;278.32;438.54;832.4
2928802;Santo Estêvão;10.85;22.28;12.43;0.323;0.43;0.626;0.471;0.5;0.611;39;30.36;13.96;89.17;10.89;69.28;3.36;149.93;180.13;358.13
3548302;Santo Expedito;8.32;20.14;7.89;0.519;0.666;0.732;0.578;0.631;0.664;60;14.55;6.42;93.55;12.9;74.83;6.06;292.15;406.46;497.6
4317954;Santo Expedito do Sul;1.5;4.11;2.63;0.379;0.627;0.732;0.47;0.602;0.679;39;21.2;4.46;41.22;22.46;41.22;17.32;148.78;337.96;547.94
3160603;Santo Hipólito;6.12;9.89;6.53;0.353;0.514;0.657;0.485;0.545;0.641;39;20.47;11.96;53.52;7.41;49.33;1.73;163.64;237.28;431.72
4124509;Santo Inácio;6.26;11.58;8.21;0.485;0.628;0.739;0.593;0.64;0.746;37;26.66;8.32;84.36;24.2;75.74;14.88;319.89;429.04;829.4
2209500;Santo Inácio do Piauí;12.37;24.58;12.4;0.27;0.427;0.613;0.398;0.503;0.543;35;27.23;7.5;74.67;20.88;74.67;11.71;95.13;183;235.42
